,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.50,0.78,0.66,0.88,0.81,0.84
0.55,0.86,0.8,0.89,0.9,0.9
0.60,0.82,0.83,0.86,0.95,0.91
0.65,0.73,0.75,0.81,0.98,0.88
0.70,0.61,0.62,0.74,0.99,0.84
0.75,0.49,0.49,0.67,1.0,0.81
0.80,0.38,0.37,0.63,1.0,0.77
0.85,0.29,0.26,0.6,1.0,0.75
0.90,0.24,0.2,0.57,1.0,0.73
max
0.50,0.8,0.7,0.89,0.83,0.85
0.55,0.88,0.83,0.9,0.92,0.91
0.60,0.84,0.87,0.88,0.96,0.92
0.65,0.76,0.82,0.83,0.98,0.9
0.70,0.65,0.7,0.76,1.0,0.86
0.75,0.53,0.56,0.69,1.0,0.82
0.80,0.42,0.41,0.65,1.0,0.79
0.85,0.31,0.31,0.61,1.0,0.76
0.90,0.26,0.27,0.59,1.0,0.74
min
0.50,0.76,0.65,0.86,0.8,0.83
0.55,0.84,0.79,0.87,0.89,0.88
0.60,0.8,0.79,0.85,0.94,0.9
0.65,0.68,0.69,0.78,0.97,0.87
0.70,0.55,0.56,0.71,0.99,0.83
0.75,0.46,0.45,0.66,1.0,0.8
0.80,0.34,0.32,0.61,1.0,0.76
0.85,0.26,0.21,0.58,1.0,0.73
0.90,0.21,0.16,0.56,1.0,0.72
std
0.50,0.01,0.02,0.01,0.01,0.01
0.55,0.02,0.02,0.01,0.01,0.01
0.60,0.01,0.03,0.01,0.01,0.01
0.65,0.03,0.05,0.02,0.0,0.01
0.70,0.03,0.05,0.02,0.0,0.01
0.75,0.03,0.04,0.01,0.0,0.01
0.80,0.03,0.03,0.01,0.0,0.01
0.85,0.02,0.03,0.01,0.0,0.01
0.90,0.02,0.04,0.01,0.0,0.01
test finished in 239.98 seconds
