,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,1.0,0.0,0.0
0.40,0.0,0.0,0.87,0.0,0.0
0.50,0.02,0.0,0.66,0.03,0.05
0.60,0.1,0.02,0.72,0.13,0.22
0.70,0.65,0.34,0.81,0.7,0.74
0.80,0.53,0.54,0.65,1.0,0.78
0.90,0.27,0.17,0.51,1.0,0.68
max
0.30,-0.0,0.0,1.0,-0.0,-0.0
0.40,-0.0,0.0,1.0,-0.0,-0.0
0.50,0.06,0.01,0.88,0.06,0.12
0.60,0.14,0.03,0.83,0.18,0.29
0.70,0.8,0.56,0.84,0.83,0.83
0.80,0.57,0.61,0.67,1.0,0.8
0.90,0.3,0.22,0.52,1.0,0.68
min
0.30,-0.0,0.0,1.0,-0.0,-0.0
0.40,-0.0,0.0,0.34,-0.0,-0.0
0.50,-0.0,-0.0,0.34,0.0,0.01
0.60,0.04,0.0,0.58,0.07,0.13
0.70,0.37,0.08,0.72,0.46,0.56
0.80,0.49,0.45,0.63,1.0,0.77
0.90,0.24,0.12,0.5,1.0,0.67
std
0.30,0.0,0.0,0.0,0.0,0.0
0.40,0.0,0.0,0.26,0.0,0.0
0.50,0.02,0.0,0.23,0.02,0.04
0.60,0.04,0.01,0.08,0.04,0.06
0.70,0.15,0.16,0.04,0.13,0.09
0.80,0.03,0.05,0.01,0.0,0.01
0.90,0.02,0.03,0.01,0.0,0.0
test finished in 2885.41 seconds
