,AMI,ARI,Completeness,Homogeneity,V-measure
mean
average-0.85,0.39,0.27,0.61,0.81,0.69
centroid-0.9,0.18,0.04,0.53,0.59,0.56
complete-0.9,0.07,0.02,0.5,0.43,0.46
single-0.8,0.39,0.25,0.59,0.81,0.69
max
average-0.85,0.42,0.3,0.62,0.84,0.7
centroid-0.9,0.23,0.06,0.55,0.62,0.57
complete-0.9,0.1,0.02,0.52,0.47,0.48
single-0.8,0.42,0.29,0.61,0.83,0.7
min
average-0.85,0.37,0.24,0.59,0.8,0.68
centroid-0.9,0.15,0.03,0.51,0.56,0.53
complete-0.9,0.06,0.01,0.48,0.4,0.44
single-0.8,0.37,0.24,0.58,0.79,0.67
std
average-0.85,0.02,0.03,0.01,0.02,0.01
centroid-0.9,0.03,0.01,0.01,0.02,0.01
complete-0.9,0.01,0.0,0.01,0.02,0.01
single-0.8,0.02,0.02,0.01,0.01,0.01
test finished in 4235.16 seconds
