,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.75,0.19,0.06,0.7,0.4,0.51
0.80,0.39,0.19,0.72,0.69,0.71
0.85,0.3,0.25,0.7,0.86,0.77
0.90,0.13,0.14,0.67,0.97,0.8
0.95,0.01,0.01,0.65,1.0,0.79
max
0.75,0.24,0.08,0.73,0.48,0.58
0.80,0.43,0.29,0.73,0.71,0.72
0.85,0.33,0.3,0.72,0.87,0.79
0.90,0.19,0.2,0.69,0.99,0.81
0.95,0.02,0.02,0.66,1.0,0.79
min
0.75,0.14,0.04,0.68,0.33,0.45
0.80,0.37,0.15,0.72,0.67,0.69
0.85,0.27,0.19,0.68,0.83,0.76
0.90,0.1,0.1,0.66,0.96,0.79
0.95,0.0,0.0,0.64,0.99,0.78
std
0.75,0.04,0.02,0.02,0.06,0.05
0.80,0.02,0.05,0.0,0.02,0.01
0.85,0.03,0.04,0.01,0.01,0.01
0.90,0.03,0.04,0.01,0.01,0.01
0.95,0.01,0.01,0.01,0.0,0.0
test finished in 4620.05 seconds
