,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.65,0.27,0.15,0.67,0.5,0.57
0.70,0.34,0.23,0.69,0.61,0.65
0.75,0.41,0.29,0.71,0.72,0.72
0.80,0.35,0.29,0.71,0.8,0.75
0.85,0.26,0.25,0.7,0.91,0.79
0.90,0.11,0.11,0.67,0.97,0.79
max
0.65,0.32,0.18,0.7,0.53,0.59
0.70,0.4,0.27,0.73,0.63,0.67
0.75,0.48,0.36,0.73,0.74,0.74
0.80,0.42,0.33,0.72,0.82,0.76
0.85,0.3,0.33,0.72,0.91,0.8
0.90,0.15,0.15,0.68,0.98,0.8
min
0.65,0.25,0.12,0.65,0.47,0.55
0.70,0.3,0.2,0.67,0.58,0.62
0.75,0.34,0.24,0.69,0.71,0.7
0.80,0.31,0.27,0.69,0.79,0.74
0.85,0.21,0.2,0.68,0.89,0.78
0.90,0.08,0.08,0.66,0.96,0.78
std
0.65,0.03,0.02,0.02,0.02,0.02
0.70,0.04,0.03,0.03,0.02,0.02
0.75,0.05,0.04,0.02,0.01,0.01
0.80,0.04,0.02,0.01,0.01,0.01
0.85,0.04,0.05,0.01,0.01,0.01
0.90,0.03,0.03,0.01,0.01,0.01
test finished in 4283.53 seconds
