,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.75,0.17,0.06,0.66,0.38,0.48
0.80,0.35,0.2,0.7,0.68,0.69
0.85,0.3,0.29,0.71,0.88,0.79
0.90,0.11,0.12,0.68,0.97,0.8
0.95,0.02,0.02,0.66,1.0,0.79
1.00,0.0,0.0,0.66,1.0,0.79
max
0.75,0.2,0.07,0.69,0.42,0.52
0.80,0.37,0.23,0.76,0.7,0.72
0.85,0.38,0.38,0.76,0.91,0.82
0.90,0.13,0.14,0.7,0.98,0.81
0.95,0.02,0.03,0.68,1.0,0.81
1.00,0.0,0.0,0.68,1.0,0.81
min
0.75,0.15,0.05,0.62,0.33,0.43
0.80,0.34,0.18,0.68,0.65,0.67
0.85,0.26,0.24,0.68,0.86,0.76
0.90,0.1,0.09,0.65,0.95,0.78
0.95,0.01,0.01,0.64,0.99,0.78
1.00,0.0,0.0,0.64,1.0,0.78
std
0.75,0.02,0.01,0.03,0.03,0.03
0.80,0.01,0.02,0.03,0.02,0.02
0.85,0.04,0.05,0.03,0.02,0.02
0.90,0.01,0.02,0.02,0.01,0.01
0.95,0.0,0.01,0.01,0.0,0.01
1.00,0.0,0.0,0.01,0.0,0.01
test finished in 3792.17 seconds
