,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.75,0.18,0.04,0.65,0.32,0.43
0.80,0.41,0.19,0.67,0.61,0.64
0.85,0.4,0.33,0.67,0.82,0.74
0.90,0.19,0.17,0.62,0.96,0.75
0.95,0.04,0.03,0.58,0.99,0.74
max
0.75,0.25,0.07,0.7,0.38,0.48
0.80,0.45,0.25,0.7,0.63,0.66
0.85,0.45,0.39,0.69,0.85,0.76
0.90,0.22,0.2,0.63,0.97,0.76
0.95,0.05,0.04,0.6,1.0,0.75
min
0.75,0.13,0.02,0.6,0.26,0.38
0.80,0.3,0.11,0.6,0.54,0.57
0.85,0.32,0.24,0.63,0.8,0.71
0.90,0.15,0.11,0.6,0.95,0.74
0.95,0.02,0.01,0.57,0.99,0.73
std
0.75,0.04,0.02,0.04,0.04,0.03
0.80,0.06,0.05,0.04,0.03,0.03
0.85,0.04,0.06,0.02,0.02,0.02
0.90,0.02,0.03,0.01,0.01,0.01
0.95,0.01,0.01,0.01,0.0,0.01
test finished in 733.97 seconds
