,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.75,0.0,0.0,0.62,0.02,0.02
0.80,0.0,0.0,0.58,0.04,0.08
0.85,0.02,0.0,0.62,0.22,0.33
0.90,0.16,0.06,0.67,0.76,0.7
0.95,0.02,0.03,0.66,1.0,0.79
1.00,0.0,0.0,0.66,1.0,0.79
max
0.75,0.0,0.0,0.7,0.02,0.03
0.80,0.0,0.0,0.59,0.05,0.09
0.85,0.04,0.01,0.63,0.25,0.36
0.90,0.2,0.07,0.68,0.8,0.71
0.95,0.03,0.04,0.68,1.0,0.81
1.00,0.0,0.0,0.67,1.0,0.8
min
0.75,0.0,0.0,0.56,0.01,0.01
0.80,0.0,0.0,0.57,0.03,0.05
0.85,0.01,0.0,0.59,0.18,0.28
0.90,0.13,0.05,0.65,0.71,0.69
0.95,0.02,0.02,0.65,0.99,0.78
1.00,0.0,0.0,0.65,1.0,0.79
std
0.75,0.0,0.0,0.06,0.0,0.01
0.80,0.0,0.0,0.01,0.01,0.02
0.85,0.01,0.0,0.02,0.03,0.03
0.90,0.03,0.01,0.01,0.04,0.01
0.95,0.0,0.01,0.01,0.0,0.01
1.00,0.0,0.0,0.01,0.0,0.0
test finished in 178.65 seconds
