,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.65,0.45,0.25,0.57,0.56,0.56
0.70,0.45,0.26,0.58,0.64,0.61
0.75,0.43,0.29,0.59,0.73,0.65
0.80,0.38,0.25,0.59,0.81,0.68
0.85,0.3,0.19,0.57,0.89,0.7
0.90,0.17,0.09,0.54,0.96,0.69
max
0.65,0.47,0.32,0.59,0.58,0.58
0.70,0.49,0.29,0.59,0.66,0.62
0.75,0.47,0.33,0.61,0.74,0.67
0.80,0.42,0.28,0.6,0.82,0.69
0.85,0.32,0.2,0.59,0.9,0.71
0.90,0.19,0.1,0.55,0.97,0.7
min
0.65,0.42,0.21,0.56,0.53,0.55
0.70,0.44,0.24,0.57,0.61,0.59
0.75,0.42,0.27,0.58,0.72,0.65
0.80,0.36,0.23,0.58,0.8,0.67
0.85,0.28,0.17,0.56,0.88,0.68
0.90,0.16,0.08,0.54,0.95,0.69
std
0.65,0.02,0.04,0.01,0.02,0.01
0.70,0.02,0.02,0.01,0.02,0.01
0.75,0.02,0.02,0.01,0.01,0.01
0.80,0.02,0.02,0.01,0.01,0.01
0.85,0.01,0.01,0.01,0.01,0.01
0.90,0.01,0.01,0.0,0.01,0.0
test finished in 1818.01 seconds
