Building prefix dict from the default dictionary ...
Loading model from cache C:\Users\ฉvงส\AppData\Local\Temp\jieba.cache
Loading model cost 1.101 seconds.
Prefix dict has been built succesfully.
spend 5s to load word2vec model from model/bin/ngram_300_3_83w.bin
algorithm  2
0.45 {'mutual_info': '0.72', 'completeness': '0.93', 'v_measure': '0.82', 'homogeneity': '0.73', 'rand': '0.54'}
0.46 {'mutual_info': '0.81', 'completeness': '0.95', 'v_measure': '0.88', 'homogeneity': '0.82', 'rand': '0.72'}
0.47 {'mutual_info': '0.82', 'completeness': '0.95', 'v_measure': '0.88', 'homogeneity': '0.83', 'rand': '0.73'}
0.48 {'mutual_info': '0.85', 'completeness': '0.95', 'v_measure': '0.89', 'homogeneity': '0.85', 'rand': '0.76'}
0.49 {'mutual_info': '0.85', 'completeness': '0.95', 'v_measure': '0.89', 'homogeneity': '0.85', 'rand': '0.76'}
0.50 {'mutual_info': '0.87', 'completeness': '0.94', 'v_measure': '0.90', 'homogeneity': '0.87', 'rand': '0.79'}
0.51 {'mutual_info': '0.91', 'completeness': '0.94', 'v_measure': '0.93', 'homogeneity': '0.91', 'rand': '0.89'}
0.52 {'mutual_info': '0.91', 'completeness': '0.94', 'v_measure': '0.93', 'homogeneity': '0.92', 'rand': '0.89'}
0.53 {'mutual_info': '0.91', 'completeness': '0.94', 'v_measure': '0.93', 'homogeneity': '0.92', 'rand': '0.89'}
0.54 {'mutual_info': '0.92', 'completeness': '0.93', 'v_measure': '0.93', 'homogeneity': '0.93', 'rand': '0.89'}
0.55 {'mutual_info': '0.91', 'completeness': '0.92', 'v_measure': '0.93', 'homogeneity': '0.94', 'rand': '0.90'}
0.56 {'mutual_info': '0.90', 'completeness': '0.90', 'v_measure': '0.92', 'homogeneity': '0.94', 'rand': '0.89'}
0.57 {'mutual_info': '0.90', 'completeness': '0.90', 'v_measure': '0.93', 'homogeneity': '0.95', 'rand': '0.90'}
0.58 {'mutual_info': '0.89', 'completeness': '0.89', 'v_measure': '0.92', 'homogeneity': '0.95', 'rand': '0.89'}
0.59 {'mutual_info': '0.87', 'completeness': '0.88', 'v_measure': '0.92', 'homogeneity': '0.96', 'rand': '0.88'}
0.60 {'mutual_info': '0.86', 'completeness': '0.87', 'v_measure': '0.91', 'homogeneity': '0.97', 'rand': '0.88'}
{'rand': ('0.90', '0.57'), 'mutual_info': ('0.92', '0.54'), 'completeness': ('0.95', '0.49'), 'v_measure': ('0.93', '0.57'), 'homogeneity': ('0.97', '0.60')}
0.45 {'mutual_info': '0.71', 'completeness': '0.91', 'v_measure': '0.80', 'homogeneity': '0.71', 'rand': '0.53'}
0.46 {'mutual_info': '0.75', 'completeness': '0.91', 'v_measure': '0.83', 'homogeneity': '0.76', 'rand': '0.60'}
0.47 {'mutual_info': '0.76', 'completeness': '0.93', 'v_measure': '0.84', 'homogeneity': '0.77', 'rand': '0.61'}
0.48 {'mutual_info': '0.84', 'completeness': '0.93', 'v_measure': '0.88', 'homogeneity': '0.84', 'rand': '0.75'}
0.49 {'mutual_info': '0.84', 'completeness': '0.92', 'v_measure': '0.88', 'homogeneity': '0.84', 'rand': '0.75'}
0.50 {'mutual_info': '0.87', 'completeness': '0.91', 'v_measure': '0.89', 'homogeneity': '0.88', 'rand': '0.81'}
0.51 {'mutual_info': '0.88', 'completeness': '0.92', 'v_measure': '0.90', 'homogeneity': '0.89', 'rand': '0.82'}
0.52 {'mutual_info': '0.90', 'completeness': '0.92', 'v_measure': '0.91', 'homogeneity': '0.90', 'rand': '0.84'}
0.53 {'mutual_info': '0.92', 'completeness': '0.94', 'v_measure': '0.93', 'homogeneity': '0.92', 'rand': '0.90'}
0.54 {'mutual_info': '0.91', 'completeness': '0.92', 'v_measure': '0.92', 'homogeneity': '0.93', 'rand': '0.89'}
0.55 {'mutual_info': '0.91', 'completeness': '0.91', 'v_measure': '0.93', 'homogeneity': '0.94', 'rand': '0.89'}
0.56 {'mutual_info': '0.91', 'completeness': '0.91', 'v_measure': '0.93', 'homogeneity': '0.95', 'rand': '0.90'}
0.57 {'mutual_info': '0.90', 'completeness': '0.90', 'v_measure': '0.93', 'homogeneity': '0.95', 'rand': '0.90'}
0.58 {'mutual_info': '0.89', 'completeness': '0.89', 'v_measure': '0.92', 'homogeneity': '0.95', 'rand': '0.89'}
0.59 {'mutual_info': '0.88', 'completeness': '0.88', 'v_measure': '0.92', 'homogeneity': '0.96', 'rand': '0.89'}
0.60 {'mutual_info': '0.84', 'completeness': '0.85', 'v_measure': '0.90', 'homogeneity': '0.96', 'rand': '0.86'}
{'rand': ('0.90', '0.57'), 'mutual_info': ('0.92', '0.53'), 'completeness': ('0.94', '0.53'), 'v_measure': ('0.93', '0.57'), 'homogeneity': ('0.96', '0.60')}
0.45 {'mutual_info': '0.68', 'completeness': '0.94', 'v_measure': '0.79', 'homogeneity': '0.69', 'rand': '0.50'}
0.46 {'mutual_info': '0.72', 'completeness': '0.95', 'v_measure': '0.82', 'homogeneity': '0.72', 'rand': '0.54'}
0.47 {'mutual_info': '0.80', 'completeness': '0.95', 'v_measure': '0.87', 'homogeneity': '0.80', 'rand': '0.69'}
0.48 {'mutual_info': '0.80', 'completeness': '0.94', 'v_measure': '0.87', 'homogeneity': '0.80', 'rand': '0.68'}
0.49 {'mutual_info': '0.83', 'completeness': '0.93', 'v_measure': '0.88', 'homogeneity': '0.84', 'rand': '0.76'}
0.50 {'mutual_info': '0.87', 'completeness': '0.93', 'v_measure': '0.90', 'homogeneity': '0.87', 'rand': '0.82'}
0.51 {'mutual_info': '0.87', 'completeness': '0.93', 'v_measure': '0.90', 'homogeneity': '0.88', 'rand': '0.83'}
0.52 {'mutual_info': '0.88', 'completeness': '0.93', 'v_measure': '0.90', 'homogeneity': '0.88', 'rand': '0.83'}
0.53 {'mutual_info': '0.91', 'completeness': '0.92', 'v_measure': '0.92', 'homogeneity': '0.91', 'rand': '0.88'}
0.54 {'mutual_info': '0.92', 'completeness': '0.92', 'v_measure': '0.93', 'homogeneity': '0.93', 'rand': '0.90'}
0.55 {'mutual_info': '0.92', 'completeness': '0.92', 'v_measure': '0.93', 'homogeneity': '0.94', 'rand': '0.91'}
0.56 {'mutual_info': '0.91', 'completeness': '0.92', 'v_measure': '0.93', 'homogeneity': '0.94', 'rand': '0.91'}
0.57 {'mutual_info': '0.90', 'completeness': '0.90', 'v_measure': '0.92', 'homogeneity': '0.95', 'rand': '0.90'}
0.58 {'mutual_info': '0.90', 'completeness': '0.90', 'v_measure': '0.93', 'homogeneity': '0.96', 'rand': '0.91'}
0.59 {'mutual_info': '0.88', 'completeness': '0.88', 'v_measure': '0.92', 'homogeneity': '0.96', 'rand': '0.90'}
0.60 {'mutual_info': '0.86', 'completeness': '0.87', 'v_measure': '0.91', 'homogeneity': '0.96', 'rand': '0.89'}
{'rand': ('0.91', '0.58'), 'mutual_info': ('0.92', '0.55'), 'completeness': ('0.95', '0.47'), 'v_measure': ('0.93', '0.58'), 'homogeneity': ('0.96', '0.60')}
0.45 {'mutual_info': '0.71', 'completeness': '0.91', 'v_measure': '0.80', 'homogeneity': '0.71', 'rand': '0.57'}
0.46 {'mutual_info': '0.77', 'completeness': '0.92', 'v_measure': '0.84', 'homogeneity': '0.78', 'rand': '0.66'}
0.47 {'mutual_info': '0.79', 'completeness': '0.90', 'v_measure': '0.84', 'homogeneity': '0.79', 'rand': '0.67'}
