sampling 100 50-64
Building prefix dict from the default dictionary ...
Loading model from cache C:\Users\宗廷\AppData\Local\Temp\jieba.cache
Loading model cost 1.063 seconds.
Prefix dict has been built succesfully.
spend 21s to load word2vec model from model/bin/ngram_300_3_83w.bin
algorithm  2
completeness 0.50 {'min': 0.88, 'mean': 0.93, 'std': 0.01, 'max': 0.95}
completeness 0.51 {'min': 0.89, 'mean': 0.93, 'std': 0.01, 'max': 0.95}
completeness 0.52 {'min': 0.9, 'mean': 0.93, 'std': 0.01, 'max': 0.95}
completeness 0.53 {'min': 0.9, 'mean': 0.93, 'std': 0.01, 'max': 0.95}
completeness 0.54 {'min': 0.9, 'mean': 0.92, 'std': 0.01, 'max': 0.94}
completeness 0.55 {'min': 0.89, 'mean': 0.91, 'std': 0.01, 'max': 0.94}
completeness 0.56 {'min': 0.88, 'mean': 0.91, 'std': 0.01, 'max': 0.93}
completeness 0.57 {'min': 0.88, 'mean': 0.9, 'std': 0.01, 'max': 0.92}
completeness 0.58 {'min': 0.87, 'mean': 0.89, 'std': 0.01, 'max': 0.92}
completeness 0.59 {'min': 0.85, 'mean': 0.87, 'std': 0.01, 'max': 0.9}
completeness 0.60 {'min': 0.84, 'mean': 0.86, 'std': 0.01, 'max': 0.89}
completeness 0.61 {'min': 0.83, 'mean': 0.85, 'std': 0.01, 'max': 0.87}
completeness 0.62 {'min': 0.81, 'mean': 0.83, 'std': 0.01, 'max': 0.85}
completeness 0.63 {'min': 0.79, 'mean': 0.81, 'std': 0.01, 'max': 0.83}
completeness 0.64 {'min': 0.78, 'mean': 0.79, 'std': 0.01, 'max': 0.81}

homogeneity 0.50 {'min': 0.83, 'mean': 0.88, 'std': 0.02, 'max': 0.92}
homogeneity 0.51 {'min': 0.86, 'mean': 0.9, 'std': 0.01, 'max': 0.92}
homogeneity 0.52 {'min': 0.88, 'mean': 0.9, 'std': 0.01, 'max': 0.92}
homogeneity 0.53 {'min': 0.89, 'mean': 0.92, 'std': 0.01, 'max': 0.93}
homogeneity 0.54 {'min': 0.91, 'mean': 0.93, 'std': 0.01, 'max': 0.95}
homogeneity 0.55 {'min': 0.92, 'mean': 0.94, 'std': 0.01, 'max': 0.96}
homogeneity 0.56 {'min': 0.93, 'mean': 0.95, 'std': 0.01, 'max': 0.96}
homogeneity 0.57 {'min': 0.94, 'mean': 0.95, 'std': 0.01, 'max': 0.96}
homogeneity 0.58 {'min': 0.94, 'mean': 0.95, 'std': 0.01, 'max': 0.97}
homogeneity 0.59 {'min': 0.95, 'mean': 0.96, 'std': 0.01, 'max': 0.97}
homogeneity 0.60 {'min': 0.95, 'mean': 0.96, 'std': 0.01, 'max': 0.97}
homogeneity 0.61 {'min': 0.96, 'mean': 0.97, 'std': 0.0, 'max': 0.97}
homogeneity 0.62 {'min': 0.96, 'mean': 0.97, 'std': 0.0, 'max': 0.98}
homogeneity 0.63 {'min': 0.96, 'mean': 0.97, 'std': 0.0, 'max': 0.98}
homogeneity 0.64 {'min': 0.97, 'mean': 0.98, 'std': 0.0, 'max': 0.98}

mutual_info 0.50 {'min': 0.82, 'mean': 0.87, 'std': 0.02, 'max': 0.91}
mutual_info 0.51 {'min': 0.86, 'mean': 0.89, 'std': 0.01, 'max': 0.92}
mutual_info 0.52 {'min': 0.88, 'mean': 0.9, 'std': 0.01, 'max': 0.92}
mutual_info 0.53 {'min': 0.88, 'mean': 0.91, 'std': 0.01, 'max': 0.92}
mutual_info 0.54 {'min': 0.89, 'mean': 0.92, 'std': 0.01, 'max': 0.94}
mutual_info 0.55 {'min': 0.89, 'mean': 0.91, 'std': 0.01, 'max': 0.94}
mutual_info 0.56 {'min': 0.88, 'mean': 0.9, 'std': 0.01, 'max': 0.93}
mutual_info 0.57 {'min': 0.87, 'mean': 0.89, 'std': 0.01, 'max': 0.91}
mutual_info 0.58 {'min': 0.86, 'mean': 0.89, 'std': 0.01, 'max': 0.91}
mutual_info 0.59 {'min': 0.85, 'mean': 0.87, 'std': 0.01, 'max': 0.9}
mutual_info 0.60 {'min': 0.83, 'mean': 0.85, 'std': 0.01, 'max': 0.88}
