tester.find_best_ratio_between_title_and_content(main.clustering3, sampling=True, times=100)
Building prefix dict from the default dictionary ...
Loading model from cache C:\Users\user\AppData\Local\Temp\jieba.cache
Loading model cost 2.022 seconds.
Prefix dict has been built succesfully.
spend 9s to load word2vec model from model/bin/ngram_300_3_83w.bin
invalid article: 'AlphaGo v.s yoyodiy　？'
invalid article: '有沒有AlphaGolf的八卦?'
invalid article: 'AlphaGo versus Baymax'
find_best_ratio_between_title_and_content <function clustering3 at 0x000001F5AA026AE8> True 100
completeness              0.5 [('max', 0.93), ('min', 0.85), ('mean', 0.89), ('std', 0.02)]
completeness              0.6 [('max', 0.93), ('min', 0.85), ('mean', 0.89), ('std', 0.02)]
completeness              0.7 [('max', 0.93), ('min', 0.85), ('mean', 0.89), ('std', 0.02)]
completeness              0.8 [('max', 0.93), ('min', 0.85), ('mean', 0.89), ('std', 0.02)]
completeness              0.9 [('max', 0.93), ('min', 0.85), ('mean', 0.89), ('std', 0.02)]

homogeneity               0.5 [('max', 0.95), ('min', 0.9), ('mean', 0.93), ('std', 0.01)]
homogeneity               0.6 [('max', 0.95), ('min', 0.9), ('mean', 0.93), ('std', 0.01)]
homogeneity               0.7 [('max', 0.95), ('min', 0.9), ('mean', 0.93), ('std', 0.01)]
homogeneity               0.8 [('max', 0.95), ('min', 0.9), ('mean', 0.93), ('std', 0.01)]
homogeneity               0.9 [('max', 0.95), ('min', 0.9), ('mean', 0.93), ('std', 0.01)]

mutual_info               0.5 [('max', 0.92), ('min', 0.84), ('mean', 0.88), ('std', 0.02)]
mutual_info               0.6 [('max', 0.92), ('min', 0.84), ('mean', 0.88), ('std', 0.02)]
mutual_info               0.7 [('max', 0.92), ('min', 0.84), ('mean', 0.88), ('std', 0.02)]
mutual_info               0.8 [('max', 0.92), ('min', 0.84), ('mean', 0.88), ('std', 0.02)]
mutual_info               0.9 [('max', 0.92), ('min', 0.84), ('mean', 0.88), ('std', 0.02)]

rand                      0.5 [('max', 0.92), ('min', 0.82), ('mean', 0.87), ('std', 0.02)]
rand                      0.6 [('max', 0.92), ('min', 0.82), ('mean', 0.87), ('std', 0.02)]
rand                      0.7 [('max', 0.92), ('min', 0.82), ('mean', 0.87), ('std', 0.02)]
rand                      0.8 [('max', 0.92), ('min', 0.82), ('mean', 0.87), ('std', 0.02)]
rand                      0.9 [('max', 0.92), ('min', 0.82), ('mean', 0.87), ('std', 0.02)]

v_measure                 0.5 [('max', 0.93), ('min', 0.88), ('mean', 0.91), ('std', 0.01)]
v_measure                 0.6 [('max', 0.93), ('min', 0.88), ('mean', 0.91), ('std', 0.01)]
v_measure                 0.7 [('max', 0.93), ('min', 0.88), ('mean', 0.91), ('std', 0.01)]
v_measure                 0.8 [('max', 0.93), ('min', 0.88), ('mean', 0.91), ('std', 0.01)]
v_measure                 0.9 [('max', 0.93), ('min', 0.88), ('mean', 0.91), ('std', 0.01)]

test finished in 31741.87 seconds
[Finished in 31766.1s]
