Building prefix dict from the default dictionary ...
Loading model from cache C:\Users\user\AppData\Local\Temp\jieba.cache
Loading model cost 1.547 seconds.
Prefix dict has been built succesfully.
spend 8s to load word2vec model from model/bin/ngram_300_3_83w.bin
invalid article: 'AlphaGo v.s yoyodiy　？'
invalid article: '有沒有AlphaGolf的八卦?'
invalid article: 'AlphaGo versus Baymax'
find_best_ratio_between_title_and_content <function clustering4 at 0x0000020822CABAE8> True 100
completeness              0.5 [('mean', 0.91), ('max', 0.94), ('std', 0.01), ('min', 0.88)]
completeness              0.6 [('mean', 0.91), ('max', 0.94), ('std', 0.01), ('min', 0.88)]
completeness              0.7 [('mean', 0.91), ('max', 0.95), ('std', 0.01), ('min', 0.87)]
completeness              0.8 [('mean', 0.91), ('max', 0.94), ('std', 0.01), ('min', 0.86)]
completeness              0.9 [('mean', 0.9), ('max', 0.94), ('std', 0.02), ('min', 0.84)]

homogeneity               0.5 [('mean', 0.93), ('max', 0.95), ('std', 0.01), ('min', 0.9)]
homogeneity               0.6 [('mean', 0.93), ('max', 0.95), ('std', 0.01), ('min', 0.92)]
homogeneity               0.7 [('mean', 0.94), ('max', 0.96), ('std', 0.01), ('min', 0.92)]
homogeneity               0.8 [('mean', 0.94), ('max', 0.95), ('std', 0.01), ('min', 0.91)]
homogeneity               0.9 [('mean', 0.93), ('max', 0.96), ('std', 0.01), ('min', 0.9)]

mutual_info               0.5 [('mean', 0.9), ('max', 0.93), ('std', 0.01), ('min', 0.87)]
mutual_info               0.6 [('mean', 0.91), ('max', 0.94), ('std', 0.01), ('min', 0.87)]
mutual_info               0.7 [('mean', 0.9), ('max', 0.94), ('std', 0.02), ('min', 0.86)]
mutual_info               0.8 [('mean', 0.9), ('max', 0.94), ('std', 0.02), ('min', 0.85)]
mutual_info               0.9 [('mean', 0.89), ('max', 0.93), ('std', 0.02), ('min', 0.82)]

rand                      0.5 [('mean', 0.88), ('max', 0.93), ('std', 0.02), ('min', 0.82)]
rand                      0.6 [('mean', 0.89), ('max', 0.93), ('std', 0.02), ('min', 0.84)]
rand                      0.7 [('mean', 0.89), ('max', 0.95), ('std', 0.02), ('min', 0.82)]
rand                      0.8 [('mean', 0.89), ('max', 0.94), ('std', 0.02), ('min', 0.81)]
rand                      0.9 [('mean', 0.89), ('max', 0.94), ('std', 0.03), ('min', 0.79)]

v_measure                 0.5 [('mean', 0.92), ('max', 0.94), ('std', 0.01), ('min', 0.89)]
v_measure                 0.6 [('mean', 0.92), ('max', 0.94), ('std', 0.01), ('min', 0.9)]
v_measure                 0.7 [('mean', 0.92), ('max', 0.95), ('std', 0.01), ('min', 0.9)]
v_measure                 0.8 [('mean', 0.92), ('max', 0.94), ('std', 0.01), ('min', 0.89)]
v_measure                 0.9 [('mean', 0.92), ('max', 0.94), ('std', 0.01), ('min', 0.87)]

test finished in 17305.77 seconds
[Finished in 17327.3s]
