,completeness,homogeneity,mutual_info,rand,v_measure
mean
0.40,0.72,0.03,0.03,0.01,0.06
0.45,0.89,0.35,0.34,0.14,0.5
0.50,0.91,0.71,0.69,0.53,0.79
0.55,0.91,0.86,0.85,0.78,0.88
0.60,0.89,0.93,0.88,0.85,0.91
0.65,0.82,0.97,0.79,0.83,0.89
0.70,0.71,0.99,0.64,0.67,0.83
0.75,0.61,1.0,0.47,0.45,0.76
max
0.40,1.0,0.14,0.13,0.04,0.24
0.45,0.94,0.51,0.5,0.31,0.65
0.50,0.94,0.82,0.81,0.73,0.87
0.55,0.94,0.9,0.89,0.87,0.91
0.60,0.93,0.96,0.92,0.92,0.94
0.65,0.85,0.98,0.82,0.88,0.91
0.70,0.74,1.0,0.67,0.75,0.84
0.75,0.63,1.0,0.51,0.6,0.77
min
0.40,0.26,0.0,0.0,0.0,0.0
0.45,0.79,0.12,0.11,0.02,0.21
0.50,0.88,0.63,0.62,0.42,0.74
0.55,0.89,0.78,0.77,0.59,0.84
0.60,0.86,0.88,0.85,0.7,0.87
0.65,0.8,0.96,0.76,0.78,0.88
0.70,0.69,0.99,0.6,0.56,0.81
0.75,0.58,0.99,0.42,0.31,0.74
std
0.40,0.27,0.04,0.04,0.01,0.08
0.45,0.03,0.1,0.1,0.08,0.11
0.50,0.02,0.04,0.04,0.07,0.03
0.55,0.02,0.03,0.03,0.06,0.02
0.60,0.02,0.02,0.02,0.05,0.01
0.65,0.01,0.01,0.01,0.02,0.01
0.70,0.01,0.0,0.02,0.05,0.01
0.75,0.01,0.0,0.02,0.07,0.01
test finished in 51667.98 seconds
