,completeness,homogeneity,v_measure,mutual_info,rand
mean,,,,,
6:4-0.6,0.89,0.94,0.91,0.88,0.86
7:3-0.6,0.89,0.95,0.92,0.88,0.88
8:2-0.55,0.92,0.91,0.92,0.9,0.86
8:2-0.6,0.88,0.96,0.92,0.87,0.88
9:1-0.55,0.91,0.93,0.92,0.9,0.88
max,,,,,
6:4-0.6,0.91,0.96,0.93,0.9,0.92
7:3-0.6,0.91,0.97,0.94,0.9,0.93
8:2-0.55,0.94,0.94,0.93,0.92,0.91
8:2-0.6,0.9,0.97,0.93,0.89,0.92
9:1-0.55,0.93,0.94,0.93,0.92,0.92
min,,,,,
6:4-0.6,0.86,0.91,0.89,0.84,0.8
7:3-0.6,0.85,0.93,0.89,0.83,0.8
8:2-0.55,0.89,0.87,0.89,0.85,0.76
8:2-0.6,0.85,0.94,0.9,0.83,0.8
9:1-0.55,0.88,0.9,0.89,0.87,0.82
std,,,,,
6:4-0.6,0.01,0.01,0.01,0.02,0.04
7:3-0.6,0.01,0.01,0.01,0.02,0.02
8:2-0.55,0.01,0.02,0.01,0.02,0.04
8:2-0.6,0.01,0.01,0.01,0.02,0.02
9:1-0.55,0.01,0.01,0.01,0.01,0.02
test finished in 35152.17 seconds,,,,,
,,,,,
,0.02,0.02,0.02,0.02,0.06
,0.04,0.01,0.02,0.05,0.06
,0.02,0.02,0.02,0.02,0.05
,0.04,0.02,0.03,0.05,0.08
,0.02,0.03,0.01,0.02,0.05
,0.03,0.04,0.03,0.05,0.1
,0.02,0.01,0.01,0.02,0.04
,0.03,0.02,0.02,0.04,0.08
,0.02,0.01,0.01,0.02,0.04
,0.03,0.03,0.03,0.03,0.06
