,completeness,homogeneity,mutual_info,rand,v_measure
mean
0.40,0.92,0.28,0.28,0.1,0.43
0.45,0.92,0.65,0.64,0.45,0.76
0.50,0.92,0.84,0.83,0.77,0.88
0.55,0.91,0.93,0.9,0.89,0.92
0.60,0.87,0.96,0.85,0.87,0.91
0.65,0.78,0.98,0.73,0.75,0.87
0.70,0.68,0.99,0.59,0.57,0.8
0.75,0.6,1.0,0.46,0.41,0.75
max
0.40,0.99,0.47,0.46,0.24,0.62
0.45,0.97,0.78,0.78,0.73,0.85
0.50,0.96,0.9,0.9,0.89,0.92
0.55,0.95,0.95,0.94,0.94,0.95
0.60,0.91,0.98,0.9,0.93,0.94
0.65,0.82,0.99,0.79,0.86,0.9
0.70,0.72,1.0,0.65,0.72,0.84
0.75,0.64,1.0,0.52,0.56,0.78
min
0.40,0.82,0.07,0.07,0.01,0.13
0.45,0.88,0.54,0.52,0.25,0.67
0.50,0.88,0.79,0.78,0.63,0.84
0.55,0.88,0.9,0.87,0.81,0.89
0.60,0.82,0.94,0.8,0.78,0.88
0.65,0.73,0.97,0.67,0.63,0.83
0.70,0.62,0.98,0.51,0.4,0.76
0.75,0.55,0.99,0.38,0.21,0.71
std
0.40,0.03,0.08,0.08,0.05,0.1
0.45,0.02,0.05,0.05,0.09,0.03
0.50,0.01,0.02,0.02,0.05,0.02
0.55,0.01,0.01,0.01,0.02,0.01
0.60,0.02,0.01,0.02,0.03,0.01
0.65,0.02,0.0,0.03,0.05,0.01
0.70,0.02,0.0,0.03,0.06,0.01
0.75,0.02,0.0,0.03,0.07,0.01
test finished in 171110.95 seconds
