,completeness,homogeneity,mutual_info,rand,v_measure
mean
0.30,0.98,0.0,0.0,0.0,0.0
0.35,0.94,0.06,0.06,0.01,0.11
0.40,0.9,0.42,0.41,0.21,0.57
0.45,0.91,0.71,0.7,0.56,0.8
0.50,0.91,0.86,0.85,0.8,0.89
0.55,0.9,0.93,0.89,0.88,0.91
0.60,0.85,0.96,0.82,0.84,0.9
0.65,0.75,0.98,0.7,0.7,0.85
0.70,0.66,0.99,0.57,0.53,0.79
0.75,0.6,1.0,0.46,0.4,0.75
max
0.30,1.0,0.0,0.0,0.0,0.0
0.35,1.0,0.24,0.24,0.1,0.39
0.40,0.95,0.56,0.55,0.4,0.7
0.45,0.94,0.79,0.78,0.73,0.85
0.50,0.94,0.92,0.91,0.89,0.93
0.55,0.93,0.96,0.93,0.92,0.94
0.60,0.9,0.97,0.89,0.92,0.93
0.65,0.79,0.99,0.76,0.8,0.88
0.70,0.7,0.99,0.62,0.68,0.82
0.75,0.64,1.0,0.52,0.52,0.78
min
0.30,0.3,0.0,0.0,0.0,0.0
0.35,0.3,-0.0,-0.0,0.0,-0.0
0.40,0.84,0.27,0.26,0.09,0.42
0.45,0.85,0.58,0.56,0.31,0.7
0.50,0.86,0.8,0.78,0.68,0.84
0.55,0.85,0.9,0.84,0.8,0.88
0.60,0.8,0.94,0.77,0.74,0.86
0.65,0.71,0.97,0.64,0.55,0.82
0.70,0.61,0.98,0.51,0.36,0.76
0.75,0.56,0.99,0.39,0.24,0.71
std
0.30,0.1,0.0,0.0,0.0,0.0
0.35,0.13,0.06,0.06,0.02,0.1
0.40,0.02,0.06,0.06,0.06,0.06
0.45,0.02,0.04,0.04,0.08,0.03
0.50,0.01,0.02,0.02,0.05,0.02
0.55,0.02,0.01,0.02,0.03,0.01
0.60,0.02,0.01,0.02,0.03,0.01
0.65,0.02,0.0,0.03,0.05,0.01
0.70,0.02,0.0,0.03,0.07,0.01
0.75,0.02,0.0,0.03,0.07,0.01
test finished in 2986.40 seconds
