,completeness,homogeneity,mutual_info,rand,v_measure
mean
0.40,0.91,0.38,0.37,0.17,0.54
0.45,0.92,0.7,0.69,0.52,0.79
0.50,0.91,0.86,0.85,0.79,0.88
0.55,0.91,0.86,0.85,0.8,0.88
0.60,0.91,0.86,0.85,0.8,0.88
0.65,0.91,0.86,0.85,0.8,0.88
0.70,0.91,0.86,0.85,0.8,0.88
0.75,0.91,0.86,0.85,0.8,0.88
max
0.40,0.96,0.52,0.5,0.29,0.66
0.45,0.95,0.79,0.78,0.73,0.86
0.50,0.95,0.91,0.9,0.89,0.92
0.55,0.95,0.91,0.9,0.89,0.92
0.60,0.95,0.91,0.9,0.89,0.92
0.65,0.95,0.91,0.9,0.89,0.92
0.70,0.95,0.91,0.9,0.89,0.92
0.75,0.95,0.91,0.9,0.89,0.92
min
0.40,0.85,0.23,0.22,0.06,0.36
0.45,0.87,0.62,0.6,0.35,0.73
0.50,0.86,0.8,0.79,0.68,0.84
0.55,0.86,0.8,0.79,0.68,0.84
0.60,0.86,0.8,0.79,0.68,0.84
0.65,0.86,0.8,0.79,0.68,0.84
0.70,0.86,0.8,0.79,0.68,0.84
0.75,0.86,0.8,0.79,0.68,0.84
std
0.40,0.02,0.06,0.06,0.05,0.06
0.45,0.02,0.04,0.04,0.08,0.03
0.50,0.01,0.02,0.02,0.04,0.02
0.55,0.02,0.02,0.02,0.04,0.02
0.60,0.02,0.02,0.02,0.04,0.02
0.65,0.02,0.02,0.02,0.04,0.02
0.70,0.02,0.02,0.02,0.04,0.02
0.75,0.02,0.02,0.02,0.04,0.02
test finished in 25284.82 seconds
