,completeness,homogeneity,mutual_info,rand,v_measure
mean
0.40,0.82,0.13,0.13,0.04,0.22
0.45,0.92,0.6,0.59,0.38,0.73
0.50,0.92,0.87,0.86,0.8,0.89
0.55,0.9,0.93,0.89,0.88,0.91
0.60,0.9,0.93,0.89,0.88,0.91
0.65,0.9,0.93,0.89,0.88,0.91
0.70,0.9,0.93,0.89,0.88,0.91
0.75,0.9,0.93,0.89,0.88,0.91
max
0.40,0.95,0.32,0.31,0.17,0.47
0.45,0.95,0.69,0.67,0.53,0.79
0.50,0.95,0.91,0.9,0.9,0.93
0.55,0.93,0.95,0.93,0.94,0.94
0.60,0.93,0.95,0.92,0.94,0.94
0.65,0.93,0.95,0.92,0.94,0.94
0.70,0.93,0.95,0.92,0.94,0.94
0.75,0.93,0.95,0.92,0.94,0.94
min
0.40,0.33,0.0,0.0,0.0,0.0
0.45,0.87,0.44,0.42,0.19,0.59
0.50,0.89,0.82,0.81,0.69,0.86
0.55,0.86,0.9,0.84,0.81,0.88
0.60,0.85,0.9,0.83,0.81,0.88
0.65,0.85,0.9,0.83,0.81,0.88
0.70,0.85,0.9,0.83,0.81,0.88
0.75,0.85,0.9,0.83,0.81,0.88
std
0.40,0.15,0.08,0.08,0.04,0.13
0.45,0.01,0.05,0.05,0.08,0.04
0.50,0.01,0.02,0.02,0.05,0.02
0.55,0.01,0.01,0.02,0.02,0.01
0.60,0.02,0.01,0.02,0.02,0.01
0.65,0.02,0.01,0.02,0.02,0.01
0.70,0.02,0.01,0.02,0.02,0.01
0.75,0.02,0.01,0.02,0.02,0.01
test finished in 37530.06 seconds
