,completeness,homogeneity,mutual_info,rand,v_measure
mean
6:4-0.55,0.94,0.95,0.94,0.92,0.94
7:3-0.55,0.94,0.95,0.94,0.92,0.94
8:2-0.55,0.94,0.95,0.94,0.92,0.94
9:1-0.55,0.94,0.95,0.94,0.92,0.94
max
6:4-0.55,0.94,0.95,0.94,0.92,0.94
7:3-0.55,0.94,0.95,0.94,0.92,0.94
8:2-0.55,0.94,0.95,0.94,0.92,0.94
9:1-0.55,0.94,0.95,0.94,0.92,0.94
min
6:4-0.55,0.94,0.95,0.94,0.92,0.94
7:3-0.55,0.94,0.95,0.94,0.92,0.94
8:2-0.55,0.94,0.95,0.94,0.92,0.94
9:1-0.55,0.94,0.95,0.94,0.92,0.94
std
6:4-0.55,0.0,0.0,0.0,0.0,0.0
7:3-0.55,0.0,0.0,0.0,0.0,0.0
8:2-0.55,0.0,0.0,0.0,0.0,0.0
9:1-0.55,0.0,0.0,0.0,0.0,0.0
test finished in 6435.33 seconds
