,completeness,homogeneity,mutual_info,rand,v_measure
mean
3:7-0.45,0.64,0.09,0.09,0.04,0.15
3:7-0.5,0.89,0.66,0.65,0.49,0.76
3:7-0.55,0.89,0.9,0.87,0.84,0.89
3:7-0.6,0.8,0.97,0.77,0.78,0.88
3:7-0.65,0.67,0.99,0.59,0.55,0.8
4:6-0.45,0.87,0.26,0.26,0.12,0.4
4:6-0.5,0.91,0.73,0.72,0.6,0.81
4:6-0.55,0.89,0.93,0.88,0.87,0.91
4:6-0.6,0.8,0.98,0.76,0.78,0.88
4:6-0.65,0.67,0.99,0.58,0.53,0.8
5:5-0.45,0.9,0.43,0.43,0.25,0.58
5:5-0.5,0.92,0.8,0.78,0.69,0.85
5:5-0.55,0.9,0.94,0.89,0.88,0.92
5:5-0.6,0.8,0.98,0.76,0.78,0.88
5:5-0.65,0.67,0.99,0.58,0.54,0.8
6:4-0.45,0.91,0.54,0.53,0.34,0.68
6:4-0.5,0.92,0.84,0.83,0.77,0.88
6:4-0.55,0.9,0.95,0.89,0.88,0.92
6:4-0.6,0.8,0.98,0.76,0.78,0.88
6:4-0.65,0.67,0.99,0.59,0.55,0.8
7:3-0.45,0.91,0.6,0.59,0.41,0.72
7:3-0.5,0.92,0.86,0.85,0.8,0.89
7:3-0.55,0.89,0.95,0.88,0.89,0.92
7:3-0.6,0.8,0.98,0.77,0.8,0.88
7:3-0.65,0.68,0.99,0.6,0.57,0.81
8:2-0.45,0.91,0.64,0.62,0.45,0.75
8:2-0.5,0.92,0.88,0.87,0.82,0.9
8:2-0.55,0.89,0.95,0.88,0.89,0.92
8:2-0.6,0.81,0.98,0.78,0.81,0.89
8:2-0.65,0.7,0.99,0.62,0.6,0.82
9:1-0.45,0.91,0.7,0.69,0.54,0.79
9:1-0.5,0.91,0.88,0.87,0.82,0.9
9:1-0.55,0.89,0.95,0.87,0.88,0.92
9:1-0.6,0.82,0.97,0.79,0.82,0.89
9:1-0.65,0.71,0.99,0.64,0.63,0.83
max
3:7-0.45,0.87,0.23,0.22,0.09,0.36
3:7-0.5,0.92,0.72,0.71,0.61,0.8
3:7-0.55,0.91,0.93,0.9,0.89,0.91
3:7-0.6,0.83,0.98,0.81,0.85,0.9
3:7-0.65,0.72,0.99,0.65,0.68,0.83
4:6-0.45,0.91,0.4,0.39,0.23,0.55
4:6-0.5,0.93,0.8,0.79,0.73,0.85
4:6-0.55,0.92,0.95,0.91,0.91,0.93
4:6-0.6,0.83,0.98,0.8,0.84,0.9
4:6-0.65,0.71,0.99,0.64,0.63,0.83
5:5-0.45,0.94,0.55,0.54,0.38,0.69
5:5-0.5,0.93,0.86,0.85,0.82,0.89
5:5-0.55,0.92,0.96,0.92,0.93,0.94
5:5-0.6,0.83,0.99,0.8,0.84,0.9
5:5-0.65,0.71,0.99,0.64,0.64,0.83
6:4-0.45,0.94,0.63,0.62,0.48,0.74
