,completeness,homogeneity,mutual_info,rand,v_measure
mean
6:4-0.55,0.92,0.94,0.92,0.91,0.93
7:3-0.55,0.92,0.94,0.92,0.92,0.93
8:2-0.55,0.92,0.94,0.91,0.92,0.93
9:1-0.55,0.92,0.94,0.91,0.91,0.93
max
6:4-0.55,0.97,0.97,0.95,0.97,0.96
7:3-0.55,0.96,0.97,0.96,0.97,0.96
8:2-0.55,0.96,0.97,0.95,0.96,0.96
9:1-0.55,0.96,0.97,0.95,0.96,0.96
min
6:4-0.55,0.87,0.9,0.86,0.82,0.89
7:3-0.55,0.87,0.9,0.86,0.83,0.9
8:2-0.55,0.87,0.9,0.86,0.83,0.89
9:1-0.55,0.86,0.9,0.85,0.82,0.88
std
6:4-0.55,0.02,0.01,0.02,0.03,0.01
7:3-0.55,0.02,0.01,0.02,0.03,0.01
8:2-0.55,0.02,0.01,0.02,0.03,0.01
9:1-0.55,0.02,0.01,0.02,0.03,0.01
test finished in 5750.68 seconds
