,silhouette_index0,silhouette_index1,silhouette_index2,silhouette_index3,silhouette_index4
mean
clustering1,0.25,nan,nan,0.0,0.17
clustering2,0.25,nan,nan,0.0,0.14
clustering3,0.25,nan,nan,0.0,0.16
clustering4,0.25,nan,0.09,0.0,0.14
max
clustering1,0.31,0.36,0.32,0.0,0.35
clustering2,0.31,0.31,0.27,0.0,0.31
clustering3,0.31,nan,0.33,0.0,0.32
clustering4,0.3,nan,0.31,0.0,0.34
min
clustering1,0.2,0.02,-0.2,0.0,-0.08
clustering2,0.21,0.03,-0.18,0.0,-0.09
clustering3,0.21,nan,-0.11,0.0,-0.04
clustering4,0.2,nan,-0.16,0.0,-0.06
std
clustering1,0.02,nan,nan,0.0,0.07
clustering2,0.02,nan,nan,0.0,0.07
clustering3,0.02,nan,nan,0.0,0.07
clustering4,0.02,nan,0.1,0.0,0.08
test finished in 40450.36 seconds
