,completeness,homogeneity,mutual_info,rand,v_measure
mean
clustering1,0.93,0.93,0.92,0.9,0.93
clustering2,0.91,0.94,0.91,0.9,0.93
clustering3,0.92,0.94,0.91,0.9,0.93
clustering4,0.92,0.94,0.91,0.91,0.93
max
clustering1,0.96,0.96,0.95,0.97,0.96
clustering2,0.95,0.97,0.95,0.97,0.96
clustering3,0.95,0.97,0.95,0.97,0.96
clustering4,0.96,0.96,0.95,0.96,0.96
min
clustering1,0.88,0.85,0.83,0.7,0.86
clustering2,0.85,0.89,0.84,0.78,0.88
clustering3,0.88,0.89,0.87,0.78,0.88
clustering4,0.87,0.9,0.86,0.8,0.9
std
clustering1,0.02,0.02,0.02,0.05,0.02
clustering2,0.02,0.02,0.03,0.05,0.02
clustering3,0.02,0.02,0.02,0.05,0.02
clustering4,0.02,0.02,0.02,0.04,0.02
test finished in 2918.06 seconds
