,completeness,homogeneity,mutual_info,rand,v_measure
mean
0.40,0.91,0.29,0.29,0.12,0.44
0.45,0.92,0.66,0.64,0.45,0.76
0.50,0.91,0.85,0.84,0.79,0.88
0.55,0.91,0.86,0.85,0.8,0.88
0.60,0.91,0.86,0.85,0.8,0.88
0.65,0.91,0.86,0.85,0.8,0.88
0.70,0.91,0.86,0.85,0.8,0.88
0.75,0.91,0.86,0.85,0.8,0.88
max
0.40,0.96,0.43,0.42,0.27,0.59
0.45,0.95,0.74,0.73,0.65,0.83
0.50,0.95,0.9,0.9,0.89,0.92
0.55,0.95,0.9,0.9,0.89,0.92
0.60,0.95,0.9,0.9,0.89,0.92
0.65,0.95,0.9,0.9,0.89,0.92
0.70,0.95,0.9,0.9,0.89,0.92
0.75,0.95,0.9,0.9,0.89,0.92
min
0.40,0.79,0.1,0.09,0.02,0.18
0.45,0.86,0.53,0.52,0.28,0.67
0.50,0.85,0.79,0.78,0.59,0.82
0.55,0.85,0.81,0.79,0.6,0.84
0.60,0.85,0.81,0.79,0.6,0.84
0.65,0.85,0.81,0.79,0.6,0.84
0.70,0.85,0.81,0.79,0.6,0.84
0.75,0.85,0.81,0.79,0.6,0.84
std
0.40,0.03,0.07,0.07,0.05,0.08
0.45,0.01,0.04,0.04,0.08,0.03
0.50,0.02,0.02,0.02,0.05,0.02
0.55,0.02,0.02,0.02,0.05,0.02
0.60,0.02,0.02,0.02,0.05,0.02
0.65,0.02,0.02,0.02,0.05,0.02
0.70,0.02,0.02,0.02,0.05,0.02
0.75,0.02,0.02,0.02,0.05,0.02
test finished in 25189.35 seconds
