,completeness,homogeneity,mutual_info,rand,v_measure
mean
3:7-0.45,0.79,0.1,0.1,0.04,0.17
3:7-0.5,0.92,0.67,0.65,0.48,0.77
3:7-0.55,0.91,0.91,0.9,0.88,0.91
3:7-0.6,0.9,0.93,0.89,0.88,0.91
3:7-0.65,0.9,0.93,0.89,0.88,0.91
4:6-0.45,0.9,0.31,0.3,0.14,0.45
4:6-0.5,0.92,0.76,0.75,0.63,0.83
4:6-0.55,0.91,0.92,0.9,0.88,0.92
4:6-0.6,0.9,0.93,0.89,0.88,0.91
4:6-0.65,0.9,0.93,0.89,0.88,0.91
5:5-0.45,0.91,0.44,0.43,0.22,0.59
5:5-0.5,0.92,0.81,0.79,0.7,0.86
5:5-0.55,0.91,0.92,0.9,0.88,0.92
5:5-0.6,0.9,0.93,0.89,0.88,0.91
5:5-0.65,0.9,0.93,0.89,0.88,0.91
6:4-0.45,0.92,0.54,0.52,0.31,0.68
6:4-0.5,0.92,0.85,0.84,0.76,0.88
6:4-0.55,0.9,0.93,0.89,0.88,0.91
6:4-0.6,0.9,0.93,0.89,0.88,0.91
6:4-0.65,0.9,0.93,0.89,0.88,0.91
7:3-0.45,0.92,0.61,0.6,0.4,0.73
7:3-0.5,0.92,0.87,0.86,0.81,0.89
7:3-0.55,0.9,0.93,0.89,0.88,0.91
7:3-0.6,0.9,0.93,0.89,0.88,0.91
7:3-0.65,0.9,0.93,0.89,0.88,0.91
8:2-0.45,0.92,0.67,0.65,0.47,0.77
8:2-0.5,0.92,0.88,0.87,0.83,0.9
8:2-0.55,0.9,0.93,0.89,0.88,0.91
8:2-0.6,0.9,0.93,0.89,0.88,0.91
8:2-0.65,0.9,0.93,0.89,0.88,0.91
9:1-0.45,0.92,0.71,0.7,0.53,0.8
9:1-0.5,0.92,0.89,0.88,0.84,0.9
9:1-0.55,0.9,0.93,0.89,0.88,0.91
9:1-0.6,0.9,0.93,0.89,0.88,0.91
9:1-0.65,0.9,0.93,0.89,0.88,0.91
max
3:7-0.45,0.94,0.2,0.2,0.09,0.33
3:7-0.5,0.95,0.73,0.72,0.61,0.83
3:7-0.55,0.93,0.93,0.93,0.92,0.93
3:7-0.6,0.93,0.94,0.92,0.92,0.93
3:7-0.65,0.93,0.94,0.92,0.92,0.93
4:6-0.45,0.95,0.41,0.4,0.24,0.57
4:6-0.5,0.95,0.81,0.8,0.74,0.87
4:6-0.55,0.93,0.94,0.92,0.92,0.93
4:6-0.6,0.93,0.94,0.92,0.92,0.93
4:6-0.65,0.93,0.94,0.92,0.92,0.93
5:5-0.45,0.95,0.54,0.53,0.34,0.68
5:5-0.5,0.95,0.85,0.84,0.79,0.9
5:5-0.55,0.93,0.94,0.92,0.92,0.93
5:5-0.6,0.93,0.94,0.92,0.92,0.93
5:5-0.65,0.93,0.94,0.92,0.92,0.93
6:4-0.45,0.95,0.6,0.59,0.42,0.74
6:4-0.5,0.95,0.89,0.88,0.85,0.91
6:4-0.55,0.93,0.94,0.92,0.92,0.93
6:4-0.6,0.93,0.94,0.92,0.92,0.93
6:4-0.65,0.93,0.94,0.92,0.92,0.93
7:3-0.45,0.95,0.7,0.69,0.55,0.8
7:3-0.5,0.94,0.9,0.9,0.89,0.92
7:3-0.55,0.93,0.94,0.92,0.92,0.93
7:3-0.6,0.93,0.94,0.92,0.92,0.93
7:3-0.65,0.93,0.94,0.92,0.92,0.93
8:2-0.45,0.95,0.74,0.73,0.61,0.82
8:2-0.5,0.94,0.91,0.9,0.89,0.92
8:2-0.55,0.93,0.94,0.92,0.92,0.93
8:2-0.6,0.93,0.94,0.92,0.92,0.93
8:2-0.65,0.93,0.94,0.92,0.92,0.93
9:1-0.45,0.94,0.77,0.76,0.68,0.84
9:1-0.5,0.94,0.92,0.91,0.9,0.93
9:1-0.55,0.93,0.94,0.92,0.92,0.93
9:1-0.6,0.93,0.94,0.92,0.92,0.93
9:1-0.65,0.93,0.94,0.92,0.92,0.93
min
3:7-0.45,0.34,0.0,0.0,0.0,0.0
3:7-0.5,0.89,0.58,0.57,0.33,0.71
3:7-0.55,0.89,0.89,0.88,0.83,0.89
3:7-0.6,0.87,0.9,0.85,0.8,0.89
3:7-0.65,0.86,0.9,0.85,0.8,0.88
4:6-0.45,0.86,0.21,0.2,0.07,0.34
4:6-0.5,0.9,0.71,0.69,0.52,0.79
4:6-0.55,0.89,0.9,0.88,0.84,0.89
4:6-0.6,0.87,0.9,0.85,0.8,0.88
4:6-0.65,0.86,0.9,0.85,0.8,0.88
5:5-0.45,0.87,0.35,0.34,0.14,0.5
5:5-0.5,0.89,0.76,0.75,0.61,0.83
5:5-0.55,0.88,0.9,0.87,0.84,0.9
5:5-0.6,0.87,0.9,0.85,0.8,0.88
5:5-0.65,0.86,0.9,0.85,0.8,0.88
6:4-0.45,0.89,0.39,0.38,0.17,0.55
6:4-0.5,0.89,0.8,0.79,0.64,0.86
6:4-0.55,0.89,0.9,0.87,0.83,0.89
6:4-0.6,0.87,0.9,0.85,0.8,0.88
6:4-0.65,0.86,0.9,0.85,0.8,0.88
7:3-0.45,0.9,0.53,0.51,0.28,0.67
7:3-0.5,0.89,0.82,0.8,0.65,0.86
7:3-0.55,0.87,0.9,0.86,0.81,0.89
