,completeness,homogeneity,mutual_info,rand,v_measure
mean
4:6-0.45,0.93,0.7,0.69,0.59,0.8
4:6-0.5,0.93,0.87,0.86,0.83,0.9
4:6-0.55,0.93,0.93,0.91,0.91,0.93
5:5-0.6,0.91,0.95,0.9,0.91,0.93
5:5-0.65,0.9,0.95,0.89,0.9,0.92
6:4-0.65,0.9,0.95,0.89,0.9,0.92
6:4-0.7,0.89,0.95,0.88,0.9,0.92
7:3-0.75,0.9,0.95,0.89,0.9,0.93
8:2-0.8,0.91,0.95,0.9,0.91,0.93
max
4:6-0.45,0.97,0.83,0.83,0.82,0.88
4:6-0.5,0.98,0.93,0.93,0.94,0.95
4:6-0.55,0.98,0.96,0.95,0.97,0.96
5:5-0.6,0.95,0.98,0.95,0.97,0.96
5:5-0.65,0.94,0.98,0.94,0.97,0.95
6:4-0.65,0.93,0.98,0.93,0.96,0.95
6:4-0.7,0.94,0.98,0.94,0.95,0.95
7:3-0.75,0.95,0.97,0.95,0.96,0.95
8:2-0.8,0.94,0.98,0.94,0.96,0.95
min
4:6-0.45,0.87,0.51,0.5,0.32,0.66
4:6-0.5,0.88,0.78,0.77,0.64,0.83
4:6-0.55,0.88,0.88,0.87,0.81,0.89
5:5-0.6,0.86,0.91,0.85,0.82,0.88
5:5-0.65,0.86,0.91,0.84,0.8,0.89
6:4-0.65,0.84,0.92,0.82,0.8,0.89
6:4-0.7,0.85,0.91,0.83,0.78,0.88
7:3-0.75,0.84,0.9,0.83,0.78,0.88
8:2-0.8,0.85,0.92,0.84,0.8,0.89
std
4:6-0.45,0.02,0.06,0.07,0.1,0.05
4:6-0.5,0.02,0.03,0.03,0.06,0.02
4:6-0.55,0.02,0.02,0.02,0.03,0.01
5:5-0.6,0.02,0.01,0.02,0.03,0.01
5:5-0.65,0.02,0.01,0.02,0.03,0.01
6:4-0.65,0.02,0.01,0.02,0.03,0.01
6:4-0.7,0.02,0.01,0.02,0.03,0.01
7:3-0.75,0.02,0.01,0.02,0.04,0.01
8:2-0.8,0.02,0.01,0.02,0.03,0.01
test finished in 14312.49 seconds
