,completeness,homogeneity,mutual_info,rand,v_measure
mean
0.40,0.94,0.12,0.12,0.04,0.21
0.45,0.92,0.59,0.58,0.39,0.72
0.50,0.93,0.85,0.84,0.78,0.89
0.55,0.91,0.94,0.91,0.89,0.93
0.60,0.83,0.97,0.8,0.81,0.89
0.65,0.7,0.99,0.63,0.59,0.82
0.70,0.6,1.0,0.47,0.39,0.75
0.75,0.55,1.0,0.35,0.26,0.71
max
0.40,1.0,0.32,0.32,0.18,0.49
0.45,0.97,0.7,0.69,0.59,0.79
0.50,0.97,0.91,0.91,0.9,0.93
0.55,0.95,0.96,0.94,0.94,0.95
0.60,0.87,0.98,0.85,0.9,0.92
0.65,0.74,0.99,0.68,0.71,0.85
0.70,0.64,1.0,0.53,0.53,0.78
0.75,0.57,1.0,0.4,0.37,0.73
min
0.40,0.41,0.0,0.0,0.0,0.0
0.45,0.88,0.43,0.42,0.21,0.59
0.50,0.88,0.78,0.77,0.63,0.84
0.55,0.88,0.91,0.86,0.83,0.9
0.60,0.77,0.96,0.72,0.65,0.86
0.65,0.64,0.98,0.52,0.39,0.77
0.70,0.55,0.99,0.39,0.23,0.71
0.75,0.51,1.0,0.28,0.14,0.67
std
0.40,0.07,0.09,0.09,0.04,0.13
0.45,0.02,0.05,0.05,0.08,0.04
0.50,0.02,0.02,0.03,0.05,0.02
0.55,0.01,0.01,0.02,0.03,0.01
0.60,0.02,0.01,0.03,0.05,0.01
0.65,0.02,0.0,0.03,0.07,0.02
0.70,0.02,0.0,0.03,0.07,0.01
0.75,0.01,0.0,0.02,0.06,0.01
test finished in 23019.51 seconds
