,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.50,0.12,0.03,0.54,0.16,0.24
0.55,0.34,0.12,0.62,0.43,0.51
0.60,0.52,0.31,0.65,0.65,0.65
0.65,0.48,0.41,0.64,0.79,0.7
0.70,0.36,0.31,0.61,0.88,0.72
0.75,0.24,0.17,0.57,0.95,0.71
0.80,0.12,0.08,0.54,0.98,0.7
max
0.50,0.18,0.06,0.61,0.22,0.32
0.55,0.37,0.15,0.62,0.47,0.54
0.60,0.53,0.4,0.65,0.71,0.68
0.65,0.48,0.44,0.64,0.81,0.71
0.70,0.37,0.32,0.61,0.89,0.72
0.75,0.25,0.19,0.57,0.95,0.71
0.80,0.14,0.1,0.54,0.98,0.7
min
0.50,0.05,0.01,0.48,0.09,0.15
0.55,0.32,0.1,0.62,0.4,0.49
0.60,0.51,0.27,0.64,0.62,0.64
0.65,0.47,0.36,0.63,0.76,0.69
0.70,0.36,0.3,0.6,0.87,0.71
0.75,0.23,0.16,0.57,0.95,0.71
0.80,0.1,0.07,0.54,0.98,0.69
std
0.50,0.05,0.02,0.05,0.05,0.07
0.55,0.02,0.02,0.0,0.03,0.02
0.60,0.01,0.06,0.0,0.04,0.02
0.65,0.0,0.04,0.0,0.02,0.01
0.70,0.0,0.01,0.0,0.01,0.0
0.75,0.01,0.01,0.0,0.0,0.0
0.80,0.02,0.01,0.0,0.0,0.0
test finished in 12355.16 seconds
