,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.40,0.39,0.21,0.54,0.48,0.51
0.45,0.45,0.26,0.56,0.57,0.57
0.50,0.44,0.29,0.57,0.64,0.6
0.55,0.4,0.28,0.57,0.71,0.64
0.60,0.37,0.26,0.58,0.78,0.66
max
0.40,0.41,0.24,0.58,0.5,0.54
0.45,0.47,0.31,0.59,0.6,0.6
0.50,0.46,0.34,0.6,0.66,0.63
0.55,0.43,0.32,0.59,0.73,0.66
0.60,0.39,0.28,0.59,0.8,0.68
min
0.40,0.35,0.16,0.5,0.45,0.47
0.45,0.4,0.19,0.52,0.53,0.53
0.50,0.38,0.22,0.53,0.59,0.56
0.55,0.35,0.21,0.54,0.68,0.6
0.60,0.33,0.2,0.55,0.74,0.63
std
0.40,0.02,0.03,0.03,0.02,0.02
0.45,0.02,0.04,0.02,0.02,0.02
0.50,0.03,0.04,0.02,0.03,0.02
0.55,0.03,0.04,0.02,0.02,0.02
0.60,0.02,0.03,0.01,0.02,0.02
test finished in 2817.42 seconds
