,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.70,0.02,0.0,0.5,0.09,0.15
0.75,0.08,0.02,0.5,0.32,0.39
0.80,0.24,0.22,0.57,0.89,0.69
0.85,0.1,0.1,0.53,0.99,0.69
0.90,0.02,0.01,0.51,1.0,0.68
0.95,0.0,0.0,0.51,1.0,0.67
max
0.70,0.03,0.0,0.53,0.11,0.18
0.75,0.12,0.03,0.53,0.35,0.42
0.80,0.25,0.26,0.58,0.93,0.72
0.85,0.13,0.16,0.54,0.99,0.7
0.90,0.03,0.02,0.52,1.0,0.69
0.95,0.0,0.0,0.52,1.0,0.68
min
0.70,0.01,0.0,0.46,0.07,0.13
0.75,0.05,0.01,0.47,0.29,0.36
0.80,0.23,0.15,0.55,0.86,0.67
0.85,0.07,0.05,0.52,0.99,0.68
0.90,0.02,0.01,0.5,1.0,0.67
0.95,0.0,0.0,0.5,1.0,0.67
std
0.70,0.01,0.0,0.03,0.02,0.02
0.75,0.03,0.01,0.02,0.02,0.02
0.80,0.01,0.05,0.01,0.03,0.02
0.85,0.02,0.05,0.01,0.0,0.01
0.90,0.0,0.0,0.01,0.0,0.01
0.95,0.0,0.0,0.01,0.0,0.0
test finished in 222.77 seconds
