,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.50,0.08,0.02,0.62,0.18,0.27
0.55,0.22,0.07,0.68,0.42,0.52
0.60,0.4,0.26,0.71,0.69,0.7
0.65,0.36,0.33,0.71,0.84,0.77
0.70,0.26,0.27,0.7,0.93,0.8
0.75,0.13,0.14,0.67,0.98,0.8
0.80,0.05,0.05,0.66,0.99,0.79
max
0.50,0.12,0.03,0.66,0.24,0.35
0.55,0.27,0.1,0.69,0.48,0.56
0.60,0.44,0.27,0.73,0.71,0.71
0.65,0.43,0.39,0.74,0.85,0.79
0.70,0.31,0.34,0.72,0.94,0.81
0.75,0.15,0.17,0.68,0.99,0.81
0.80,0.07,0.08,0.66,1.0,0.79
min
0.50,0.05,0.01,0.58,0.12,0.2
0.55,0.19,0.05,0.65,0.39,0.49
0.60,0.37,0.25,0.68,0.68,0.68
0.65,0.3,0.26,0.69,0.83,0.76
0.70,0.23,0.24,0.69,0.92,0.79
0.75,0.1,0.1,0.66,0.97,0.79
0.80,0.03,0.02,0.65,0.99,0.79
std
0.50,0.03,0.01,0.03,0.05,0.06
0.55,0.03,0.02,0.01,0.03,0.02
0.60,0.03,0.01,0.02,0.01,0.01
0.65,0.05,0.04,0.02,0.01,0.01
0.70,0.03,0.04,0.01,0.01,0.01
0.75,0.02,0.03,0.01,0.01,0.01
0.80,0.01,0.02,0.0,0.0,0.0
test finished in 582.68 seconds
