,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.40,0.2,0.12,0.59,0.44,0.5
0.45,0.24,0.16,0.62,0.54,0.58
0.50,0.28,0.18,0.64,0.64,0.64
0.55,0.29,0.23,0.67,0.73,0.7
0.60,0.26,0.23,0.68,0.81,0.74
max
0.40,0.2,0.12,0.61,0.46,0.52
0.45,0.26,0.18,0.64,0.55,0.6
0.50,0.3,0.2,0.66,0.65,0.66
0.55,0.31,0.25,0.69,0.77,0.73
0.60,0.3,0.26,0.7,0.82,0.75
min
0.40,0.19,0.11,0.58,0.42,0.49
0.45,0.21,0.13,0.6,0.51,0.55
0.50,0.25,0.15,0.63,0.62,0.62
0.55,0.27,0.21,0.65,0.71,0.68
0.60,0.23,0.19,0.66,0.79,0.72
std
0.40,0.0,0.0,0.01,0.01,0.01
0.45,0.02,0.02,0.01,0.02,0.02
0.50,0.02,0.02,0.01,0.01,0.01
0.55,0.02,0.01,0.01,0.02,0.02
0.60,0.03,0.03,0.02,0.01,0.01
test finished in 501.95 seconds
