,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.50,0.12,0.03,0.55,0.15,0.23
0.55,0.34,0.12,0.62,0.42,0.5
0.60,0.51,0.29,0.62,0.62,0.62
0.65,0.45,0.38,0.61,0.77,0.68
0.70,0.35,0.29,0.59,0.89,0.71
0.75,0.23,0.17,0.56,0.95,0.7
0.80,0.12,0.08,0.53,0.99,0.69
max
0.50,0.16,0.05,0.58,0.19,0.29
0.55,0.37,0.15,0.63,0.45,0.52
0.60,0.52,0.33,0.62,0.64,0.63
0.65,0.47,0.4,0.62,0.78,0.69
0.70,0.37,0.34,0.6,0.9,0.72
0.75,0.25,0.2,0.57,0.96,0.72
0.80,0.14,0.1,0.54,0.99,0.7
min
0.50,0.08,0.01,0.49,0.11,0.18
0.55,0.31,0.07,0.6,0.38,0.46
0.60,0.5,0.25,0.61,0.61,0.61
0.65,0.42,0.35,0.6,0.76,0.67
0.70,0.32,0.25,0.58,0.88,0.7
0.75,0.2,0.13,0.55,0.95,0.69
0.80,0.1,0.05,0.52,0.98,0.68
std
0.50,0.03,0.01,0.03,0.04,0.05
0.55,0.03,0.03,0.01,0.03,0.02
0.60,0.01,0.03,0.0,0.01,0.01
0.65,0.02,0.02,0.01,0.01,0.01
0.70,0.02,0.03,0.01,0.01,0.01
0.75,0.02,0.03,0.01,0.0,0.01
0.80,0.01,0.02,0.01,0.0,0.01
test finished in 840.93 seconds
