,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.50,0.21,0.06,0.57,0.25,0.35
0.55,0.42,0.19,0.62,0.5,0.55
0.60,0.51,0.34,0.62,0.65,0.63
0.65,0.45,0.4,0.61,0.79,0.69
0.70,0.36,0.31,0.59,0.88,0.71
0.75,0.25,0.18,0.56,0.95,0.71
0.80,0.15,0.1,0.54,0.98,0.7
max
0.50,0.25,0.07,0.61,0.29,0.39
0.55,0.48,0.27,0.65,0.55,0.59
0.60,0.54,0.41,0.64,0.69,0.66
0.65,0.47,0.45,0.62,0.81,0.7
0.70,0.38,0.38,0.6,0.9,0.72
0.75,0.26,0.19,0.57,0.96,0.72
0.80,0.16,0.11,0.54,0.98,0.7
min
0.50,0.17,0.04,0.54,0.21,0.31
0.55,0.35,0.12,0.6,0.44,0.51
0.60,0.48,0.26,0.6,0.62,0.61
0.65,0.42,0.35,0.59,0.76,0.67
0.70,0.34,0.27,0.58,0.86,0.69
0.75,0.23,0.16,0.56,0.93,0.7
0.80,0.15,0.09,0.54,0.97,0.69
std
0.50,0.03,0.01,0.02,0.03,0.03
0.55,0.05,0.05,0.02,0.04,0.03
0.60,0.02,0.06,0.02,0.03,0.02
0.65,0.02,0.03,0.01,0.02,0.01
0.70,0.01,0.04,0.01,0.02,0.01
0.75,0.01,0.01,0.0,0.01,0.01
0.80,0.0,0.01,0.0,0.0,0.0
test finished in 738.30 seconds
