,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.70,0.01,0.0,0.47,0.11,0.18
0.75,0.27,0.08,0.56,0.56,0.56
0.80,0.24,0.25,0.57,0.96,0.71
0.85,0.12,0.11,0.53,0.98,0.69
0.90,0.04,0.03,0.52,0.99,0.68
0.95,0.0,0.0,0.5,1.0,0.67
max
0.70,0.01,0.0,0.48,0.13,0.2
0.75,0.34,0.12,0.58,0.64,0.61
0.80,0.26,0.26,0.58,0.97,0.72
0.85,0.13,0.13,0.54,0.99,0.7
0.90,0.06,0.05,0.52,1.0,0.68
0.95,0.01,0.0,0.51,1.0,0.68
min
0.70,0.01,0.0,0.47,0.1,0.16
0.75,0.22,0.04,0.54,0.49,0.52
0.80,0.22,0.22,0.56,0.95,0.71
0.85,0.1,0.08,0.53,0.98,0.69
0.90,0.03,0.02,0.51,0.99,0.67
0.95,0.0,0.0,0.5,1.0,0.66
std
0.70,0.0,0.0,0.0,0.01,0.01
0.75,0.04,0.03,0.02,0.06,0.04
0.80,0.01,0.02,0.01,0.01,0.0
0.85,0.01,0.02,0.0,0.0,0.0
0.90,0.01,0.01,0.0,0.0,0.0
0.95,0.0,0.0,0.0,0.0,0.01
test finished in 501.23 seconds
