,AMI,ARI,Completeness,Homogeneity,V-measure
mean
average-0.7,0.45,0.36,0.61,0.74,0.67
centroid-0.7,0.45,0.36,0.61,0.74,0.67
complete-0.8,0.27,0.13,0.57,0.71,0.63
single-0.6,0.29,0.17,0.5,0.65,0.56
max
average-0.7,0.47,0.39,0.62,0.77,0.68
centroid-0.7,0.47,0.39,0.62,0.77,0.68
complete-0.8,0.31,0.2,0.59,0.78,0.66
single-0.6,0.31,0.21,0.52,0.66,0.58
min
average-0.7,0.43,0.33,0.59,0.72,0.65
centroid-0.7,0.43,0.33,0.59,0.72,0.65
complete-0.8,0.24,0.09,0.54,0.63,0.58
single-0.6,0.27,0.15,0.49,0.64,0.56
std
average-0.7,0.01,0.02,0.01,0.02,0.01
centroid-0.7,0.01,0.02,0.01,0.02,0.01
complete-0.8,0.03,0.04,0.02,0.05,0.03
single-0.6,0.01,0.02,0.01,0.01,0.01
test finished in 239.33 seconds
