,AMI,ARI,Completeness,Homogeneity,V-measure
mean
average-0.7,0.37,0.33,0.72,0.83,0.77
centroid-0.7,0.37,0.33,0.72,0.83,0.77
complete-0.8,0.14,0.17,0.68,0.98,0.81
single-0.6,0.28,0.18,0.65,0.68,0.66
max
average-0.7,0.42,0.42,0.74,0.87,0.8
centroid-0.7,0.42,0.42,0.74,0.87,0.8
complete-0.8,0.17,0.21,0.69,0.99,0.81
single-0.6,0.3,0.21,0.66,0.71,0.68
min
average-0.7,0.3,0.27,0.7,0.78,0.74
centroid-0.7,0.3,0.27,0.7,0.78,0.74
complete-0.8,0.1,0.12,0.67,0.97,0.8
single-0.6,0.24,0.15,0.63,0.66,0.64
std
average-0.7,0.04,0.05,0.02,0.03,0.02
centroid-0.7,0.04,0.05,0.02,0.03,0.02
complete-0.8,0.02,0.03,0.01,0.01,0.0
single-0.6,0.02,0.02,0.01,0.02,0.01
test finished in 534.21 seconds
