,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.0,0.0,0.9,0.0,0.0
0.65,0.0,0.0,0.61,0.01,0.03
0.70,0.01,0.0,0.62,0.09,0.14
0.75,0.17,0.05,0.66,0.57,0.61
0.80,0.13,0.16,0.68,0.98,0.8
0.85,0.03,0.04,0.66,1.0,0.79
0.90,0.01,0.01,0.65,1.0,0.79
max
0.60,0.0,0.0,1.0,0.01,0.01
0.65,0.01,-0.0,0.76,0.03,0.06
0.70,0.02,0.0,0.7,0.11,0.18
0.75,0.24,0.07,0.69,0.65,0.67
0.80,0.17,0.2,0.69,0.99,0.81
0.85,0.05,0.06,0.67,1.0,0.8
0.90,0.03,0.03,0.67,1.0,0.8
min
0.60,0.0,0.0,0.43,0.0,0.0
0.65,-0.0,-0.0,0.44,0.0,0.01
0.70,0.0,0.0,0.57,0.06,0.11
0.75,0.11,0.03,0.64,0.49,0.56
0.80,0.07,0.07,0.66,0.96,0.78
0.85,0.02,0.02,0.65,1.0,0.78
0.90,0.0,0.0,0.64,1.0,0.78
std
0.60,0.0,0.0,0.21,0.0,0.0
0.65,0.0,0.0,0.11,0.01,0.02
0.70,0.01,0.0,0.04,0.02,0.02
0.75,0.05,0.02,0.02,0.06,0.05
0.80,0.04,0.05,0.01,0.01,0.01
0.85,0.01,0.01,0.01,0.0,0.01
0.90,0.01,0.01,0.01,0.0,0.01
test finished in 556.27 seconds
