,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.55,0.12,0.03,0.55,0.15,0.23
0.60,0.37,0.16,0.64,0.44,0.52
0.65,0.53,0.34,0.65,0.64,0.64
0.70,0.47,0.42,0.63,0.79,0.7
0.75,0.35,0.29,0.6,0.9,0.72
0.80,0.19,0.13,0.56,0.97,0.7
0.85,0.08,0.04,0.52,0.98,0.68
0.90,0.03,0.01,0.51,0.99,0.67
0.95,0.0,0.0,0.51,1.0,0.67
max
0.55,0.16,0.05,0.59,0.19,0.29
0.60,0.42,0.23,0.66,0.49,0.55
0.65,0.57,0.4,0.66,0.67,0.66
0.70,0.49,0.44,0.63,0.81,0.71
0.75,0.36,0.32,0.6,0.91,0.72
0.80,0.21,0.15,0.56,0.97,0.71
0.85,0.09,0.05,0.53,0.99,0.69
0.90,0.03,0.02,0.51,1.0,0.68
0.95,0.01,0.0,0.51,1.0,0.68
min
0.55,0.06,0.01,0.51,0.09,0.15
0.60,0.31,0.09,0.63,0.37,0.47
0.65,0.51,0.28,0.63,0.63,0.63
0.70,0.44,0.38,0.62,0.78,0.69
0.75,0.32,0.27,0.59,0.89,0.72
0.80,0.18,0.12,0.55,0.96,0.7
0.85,0.07,0.03,0.52,0.98,0.68
0.90,0.02,0.01,0.5,0.99,0.67
0.95,0.0,0.0,0.5,1.0,0.66
std
0.55,0.03,0.01,0.03,0.03,0.05
0.60,0.04,0.05,0.01,0.04,0.03
0.65,0.02,0.05,0.01,0.02,0.01
0.70,0.02,0.02,0.0,0.01,0.01
0.75,0.01,0.02,0.0,0.01,0.0
0.80,0.01,0.01,0.01,0.0,0.0
0.85,0.01,0.01,0.0,0.01,0.0
0.90,0.0,0.0,0.0,0.0,0.0
0.95,0.0,0.0,0.01,0.0,0.01
test finished in 415.35 seconds
