,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.12,0.05,0.37,0.15,0.21
0.35,0.2,0.09,0.42,0.25,0.31
0.40,0.27,0.14,0.45,0.35,0.4
0.45,0.34,0.19,0.48,0.46,0.47
0.50,0.34,0.2,0.49,0.53,0.51
0.55,0.32,0.21,0.51,0.62,0.56
0.60,0.3,0.2,0.53,0.7,0.6
0.65,0.28,0.17,0.54,0.79,0.64
0.70,0.25,0.14,0.55,0.86,0.67
max
0.30,0.16,0.08,0.4,0.19,0.25
0.35,0.24,0.12,0.45,0.29,0.35
0.40,0.31,0.18,0.47,0.4,0.44
0.45,0.37,0.21,0.5,0.49,0.49
0.50,0.37,0.22,0.51,0.56,0.53
0.55,0.35,0.23,0.52,0.63,0.57
0.60,0.33,0.23,0.54,0.71,0.61
0.65,0.32,0.22,0.56,0.81,0.66
0.70,0.28,0.17,0.56,0.87,0.68
min
0.30,0.09,0.03,0.32,0.12,0.17
0.35,0.18,0.07,0.38,0.22,0.29
0.40,0.22,0.11,0.41,0.31,0.35
0.45,0.31,0.14,0.46,0.44,0.45
0.50,0.32,0.18,0.48,0.51,0.5
0.55,0.3,0.18,0.49,0.59,0.54
0.60,0.28,0.18,0.51,0.67,0.59
0.65,0.25,0.15,0.52,0.77,0.62
0.70,0.23,0.12,0.53,0.84,0.66
std
0.30,0.02,0.02,0.03,0.02,0.02
0.35,0.02,0.02,0.02,0.02,0.02
0.40,0.03,0.03,0.02,0.03,0.03
0.45,0.02,0.02,0.01,0.02,0.01
0.50,0.02,0.02,0.01,0.02,0.01
0.55,0.02,0.02,0.01,0.01,0.01
0.60,0.02,0.02,0.01,0.01,0.01
0.65,0.02,0.02,0.01,0.01,0.01
0.70,0.02,0.02,0.01,0.01,0.01
test finished in 656.34 seconds
