,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.55,0.01,0.0,0.33,0.02,0.04
0.60,0.18,0.05,0.59,0.22,0.32
0.65,0.39,0.16,0.65,0.47,0.55
0.70,0.51,0.34,0.63,0.68,0.65
0.75,0.42,0.37,0.62,0.84,0.71
0.80,0.28,0.2,0.58,0.94,0.71
0.85,0.11,0.06,0.53,0.99,0.69
max
0.55,0.04,0.0,0.54,0.05,0.08
0.60,0.22,0.08,0.66,0.27,0.36
0.65,0.44,0.2,0.69,0.52,0.6
0.70,0.54,0.4,0.66,0.71,0.68
0.75,0.47,0.48,0.65,0.85,0.73
0.80,0.31,0.26,0.6,0.95,0.73
0.85,0.13,0.07,0.54,0.99,0.7
min
0.55,0.0,0.0,0.17,0.01,0.01
0.60,0.16,0.04,0.56,0.19,0.29
0.65,0.33,0.09,0.63,0.41,0.5
0.70,0.48,0.26,0.6,0.64,0.62
0.75,0.39,0.31,0.6,0.83,0.69
0.80,0.25,0.16,0.56,0.93,0.7
0.85,0.1,0.04,0.52,0.99,0.68
std
0.55,0.02,0.0,0.13,0.02,0.03
0.60,0.02,0.01,0.03,0.03,0.03
0.65,0.03,0.04,0.02,0.03,0.03
0.70,0.02,0.05,0.02,0.02,0.02
0.75,0.02,0.05,0.02,0.01,0.01
0.80,0.02,0.03,0.01,0.01,0.01
0.85,0.01,0.01,0.01,0.0,0.01
test finished in 806.79 seconds
