,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.55,0.02,0.01,0.49,0.04,0.07
0.60,0.16,0.04,0.58,0.2,0.29
0.65,0.39,0.17,0.63,0.47,0.54
0.70,0.53,0.37,0.64,0.69,0.66
0.75,0.43,0.37,0.62,0.82,0.71
0.80,0.27,0.2,0.57,0.94,0.71
0.85,0.12,0.07,0.53,0.99,0.69
0.90,0.03,0.02,0.51,0.99,0.67
0.95,0.0,0.0,0.5,1.0,0.67
max
0.55,0.08,0.02,0.62,0.11,0.18
0.60,0.21,0.07,0.61,0.25,0.35
0.65,0.42,0.25,0.64,0.5,0.56
0.70,0.55,0.45,0.66,0.73,0.69
0.75,0.46,0.42,0.63,0.85,0.72
0.80,0.29,0.22,0.59,0.95,0.72
0.85,0.13,0.08,0.54,0.99,0.7
0.90,0.04,0.02,0.52,1.0,0.68
0.95,0.01,0.0,0.51,1.0,0.68
min
0.55,0.0,0.0,0.2,0.0,0.01
0.60,0.11,0.02,0.5,0.15,0.23
0.65,0.34,0.13,0.6,0.42,0.49
0.70,0.5,0.29,0.62,0.66,0.65
0.75,0.41,0.29,0.6,0.8,0.69
0.80,0.26,0.17,0.57,0.93,0.71
0.85,0.11,0.05,0.53,0.98,0.68
0.90,0.02,0.01,0.5,0.99,0.67
0.95,0.0,0.0,0.5,1.0,0.66
std
0.55,0.03,0.01,0.14,0.04,0.06
0.60,0.04,0.02,0.04,0.04,0.05
0.65,0.03,0.04,0.01,0.03,0.02
0.70,0.02,0.05,0.02,0.02,0.01
0.75,0.02,0.04,0.01,0.01,0.01
0.80,0.01,0.02,0.01,0.01,0.0
0.85,0.01,0.01,0.0,0.0,0.01
0.90,0.01,0.01,0.01,0.01,0.0
0.95,0.0,0.0,0.0,0.0,0.01
test finished in 509.20 seconds
