,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.0,0.0,1.0,0.0,0.0
0.65,0.0,0.0,0.71,0.0,0.0
0.70,0.0,0.0,0.45,0.01,0.02
0.75,0.0,0.0,0.45,0.05,0.08
0.80,0.07,0.01,0.5,0.28,0.36
0.85,0.24,0.25,0.56,0.96,0.71
0.90,0.05,0.03,0.51,0.99,0.67
max
0.60,-0.0,0.0,1.0,-0.0,-0.0
0.65,-0.0,0.0,1.0,0.01,0.01
0.70,-0.0,-0.0,0.5,0.02,0.03
0.75,0.01,0.0,0.48,0.05,0.09
0.80,0.12,0.02,0.54,0.34,0.41
0.85,0.26,0.29,0.57,0.97,0.72
0.90,0.07,0.06,0.51,0.99,0.68
min
0.60,-0.0,0.0,1.0,-0.0,-0.0
0.65,-0.0,0.0,0.41,-0.0,-0.0
0.70,-0.0,-0.0,0.38,0.0,0.01
0.75,-0.0,0.0,0.42,0.04,0.07
0.80,0.04,0.01,0.48,0.25,0.33
0.85,0.2,0.19,0.55,0.95,0.7
0.90,0.04,0.02,0.5,0.99,0.66
std
0.60,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.29,0.0,0.0
0.70,0.0,0.0,0.05,0.01,0.01
0.75,0.0,0.0,0.02,0.0,0.01
0.80,0.03,0.0,0.02,0.03,0.03
0.85,0.02,0.03,0.01,0.01,0.01
0.90,0.01,0.01,0.0,0.0,0.01
test finished in 772.80 seconds
