,AMI,ARI,Completeness,Homogeneity,V-measure
mean
average-0.75,0.5,0.38,0.63,0.71,0.66
centroid-0.75,0.5,0.38,0.63,0.71,0.66
complete-0.85,0.25,0.07,0.56,0.61,0.58
single-0.6,0.35,0.21,0.5,0.54,0.52
max
average-0.75,0.52,0.41,0.64,0.72,0.67
centroid-0.75,0.52,0.41,0.64,0.72,0.67
complete-0.85,0.34,0.13,0.6,0.71,0.65
single-0.6,0.4,0.28,0.53,0.56,0.55
min
average-0.75,0.48,0.33,0.62,0.69,0.65
centroid-0.75,0.48,0.33,0.62,0.69,0.65
complete-0.85,0.2,0.04,0.52,0.5,0.51
single-0.6,0.31,0.17,0.48,0.52,0.5
std
average-0.75,0.01,0.03,0.01,0.01,0.01
centroid-0.75,0.01,0.03,0.01,0.01,0.01
complete-0.85,0.05,0.03,0.03,0.08,0.05
single-0.6,0.03,0.04,0.02,0.02,0.02
test finished in 256.50 seconds
