,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,1.0,0.0,0.0
0.35,0.01,0.0,0.43,0.02,0.04
0.40,0.21,0.07,0.55,0.26,0.35
0.45,0.4,0.2,0.57,0.5,0.54
0.50,0.43,0.29,0.58,0.64,0.61
0.55,0.39,0.34,0.59,0.77,0.66
0.60,0.34,0.29,0.58,0.86,0.69
0.65,0.27,0.21,0.57,0.92,0.7
0.70,0.2,0.15,0.55,0.95,0.7
max
0.30,0.0,0.0,1.0,0.0,0.0
0.35,0.02,0.0,0.65,0.04,0.07
0.40,0.24,0.09,0.58,0.29,0.39
0.45,0.44,0.23,0.59,0.55,0.57
0.50,0.45,0.33,0.59,0.67,0.63
0.55,0.41,0.37,0.6,0.78,0.68
0.60,0.36,0.33,0.6,0.87,0.71
0.65,0.28,0.23,0.58,0.92,0.71
0.70,0.2,0.17,0.56,0.96,0.71
min
0.30,0.0,0.0,1.0,0.0,0.0
0.35,0.0,0.0,0.34,0.0,0.01
0.40,0.18,0.05,0.51,0.22,0.31
0.45,0.37,0.15,0.55,0.47,0.51
0.50,0.41,0.25,0.55,0.62,0.59
0.55,0.37,0.31,0.57,0.75,0.64
0.60,0.32,0.26,0.57,0.84,0.68
0.65,0.25,0.19,0.56,0.91,0.69
0.70,0.19,0.13,0.54,0.94,0.69
std
0.30,0.0,0.0,0.0,0.0,0.0
0.35,0.01,0.0,0.11,0.01,0.02
0.40,0.02,0.01,0.03,0.02,0.03
0.45,0.02,0.03,0.02,0.03,0.02
0.50,0.01,0.03,0.01,0.02,0.02
0.55,0.01,0.02,0.01,0.01,0.01
0.60,0.01,0.02,0.01,0.01,0.01
0.65,0.01,0.01,0.01,0.0,0.01
0.70,0.0,0.02,0.01,0.01,0.01
test finished in 353.33 seconds
