,AMI,ARI,Completeness,Homogeneity,V-measure
mean
average-0.6,0.51,0.39,0.63,0.66,0.64
average-0.65,0.44,0.38,0.62,0.8,0.7
centroid-0.6,0.51,0.39,0.63,0.66,0.64
centroid-0.65,0.44,0.38,0.62,0.8,0.7
complete-0.8,0.15,0.14,0.55,0.98,0.7
single-0.5,0.3,0.19,0.51,0.62,0.56
max
average-0.6,0.54,0.46,0.65,0.7,0.67
average-0.65,0.48,0.46,0.64,0.83,0.72
centroid-0.6,0.54,0.46,0.65,0.7,0.67
centroid-0.65,0.48,0.46,0.64,0.83,0.72
complete-0.8,0.2,0.23,0.56,0.99,0.71
single-0.5,0.33,0.23,0.52,0.66,0.58
min
average-0.6,0.5,0.32,0.61,0.64,0.63
average-0.65,0.42,0.35,0.61,0.79,0.69
centroid-0.6,0.5,0.32,0.61,0.64,0.63
centroid-0.65,0.42,0.35,0.61,0.79,0.69
complete-0.8,0.1,0.06,0.54,0.98,0.7
single-0.5,0.29,0.17,0.49,0.61,0.54
std
average-0.6,0.01,0.05,0.01,0.02,0.01
average-0.65,0.02,0.04,0.01,0.01,0.01
centroid-0.6,0.01,0.05,0.01,0.02,0.01
centroid-0.65,0.02,0.04,0.01,0.01,0.01
complete-0.8,0.04,0.06,0.01,0.0,0.0
single-0.5,0.01,0.02,0.01,0.02,0.01
test finished in 231.38 seconds
