,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.50,0.1,0.03,0.56,0.12,0.18
0.55,0.35,0.15,0.63,0.41,0.5
0.60,0.52,0.37,0.63,0.66,0.65
0.65,0.45,0.43,0.62,0.81,0.7
0.70,0.35,0.3,0.6,0.91,0.72
0.75,0.2,0.14,0.56,0.97,0.71
0.80,0.09,0.05,0.53,0.99,0.69
max
0.50,0.17,0.05,0.64,0.2,0.3
0.55,0.41,0.19,0.68,0.47,0.56
0.60,0.57,0.47,0.67,0.71,0.69
0.65,0.5,0.48,0.66,0.84,0.74
0.70,0.39,0.36,0.62,0.93,0.74
0.75,0.23,0.16,0.57,0.97,0.72
0.80,0.1,0.06,0.54,0.99,0.7
min
0.50,0.02,0.0,0.47,0.03,0.05
0.55,0.29,0.09,0.6,0.36,0.45
0.60,0.49,0.31,0.61,0.62,0.61
0.65,0.42,0.37,0.6,0.78,0.68
0.70,0.3,0.23,0.58,0.89,0.7
0.75,0.18,0.12,0.55,0.96,0.7
0.80,0.07,0.04,0.52,0.99,0.68
std
0.50,0.05,0.02,0.07,0.06,0.09
0.55,0.04,0.04,0.03,0.04,0.04
0.60,0.04,0.07,0.03,0.04,0.04
0.65,0.03,0.04,0.02,0.02,0.02
0.70,0.04,0.05,0.02,0.01,0.02
0.75,0.02,0.01,0.01,0.0,0.01
0.80,0.01,0.01,0.01,0.0,0.01
test finished in 620.43 seconds
