,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.55,0.08,0.02,0.65,0.13,0.21
0.60,0.21,0.08,0.68,0.39,0.5
0.65,0.37,0.23,0.7,0.67,0.69
0.70,0.33,0.32,0.71,0.86,0.78
0.75,0.22,0.24,0.7,0.97,0.81
0.80,0.07,0.07,0.67,1.0,0.8
0.85,0.02,0.02,0.66,1.0,0.79
max
0.55,0.12,0.04,0.75,0.18,0.28
0.60,0.25,0.13,0.75,0.43,0.54
0.65,0.44,0.3,0.74,0.71,0.73
0.70,0.37,0.39,0.73,0.88,0.8
0.75,0.28,0.32,0.72,0.98,0.83
0.80,0.09,0.09,0.67,1.0,0.8
0.85,0.05,0.05,0.66,1.0,0.8
min
0.55,0.05,0.01,0.53,0.1,0.16
0.60,0.18,0.06,0.6,0.35,0.44
0.65,0.31,0.17,0.67,0.64,0.65
0.70,0.29,0.26,0.69,0.82,0.75
0.75,0.19,0.18,0.67,0.93,0.78
0.80,0.04,0.04,0.66,0.99,0.79
0.85,0.0,0.0,0.65,1.0,0.78
std
0.55,0.02,0.01,0.08,0.03,0.04
0.60,0.03,0.02,0.05,0.03,0.04
0.65,0.05,0.05,0.02,0.03,0.03
0.70,0.03,0.05,0.02,0.02,0.02
0.75,0.03,0.05,0.02,0.02,0.02
0.80,0.02,0.02,0.0,0.0,0.0
0.85,0.02,0.02,0.0,0.0,0.01
test finished in 999.97 seconds
