,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.02,0.01,0.71,0.04,0.07
0.35,0.07,0.03,0.44,0.14,0.21
0.40,0.11,0.05,0.5,0.22,0.31
0.45,0.14,0.07,0.53,0.34,0.41
0.50,0.2,0.11,0.59,0.45,0.51
0.55,0.25,0.16,0.62,0.57,0.6
0.60,0.26,0.18,0.65,0.69,0.67
0.65,0.24,0.2,0.67,0.8,0.73
0.70,0.25,0.22,0.69,0.9,0.79
max
0.30,0.09,0.03,1.0,0.14,0.21
0.35,0.1,0.04,0.51,0.19,0.28
0.40,0.15,0.07,0.54,0.27,0.36
0.45,0.19,0.12,0.55,0.39,0.45
0.50,0.24,0.15,0.6,0.49,0.54
0.55,0.3,0.2,0.64,0.6,0.62
0.60,0.28,0.21,0.66,0.71,0.68
0.65,0.27,0.23,0.68,0.82,0.73
0.70,0.26,0.25,0.7,0.91,0.79
min
0.30,-0.0,0.0,0.41,-0.0,-0.0
0.35,0.04,0.01,0.36,0.07,0.12
0.40,0.08,0.02,0.46,0.18,0.27
0.45,0.11,0.06,0.51,0.32,0.4
0.50,0.16,0.08,0.56,0.42,0.48
0.55,0.19,0.1,0.61,0.53,0.57
0.60,0.2,0.15,0.63,0.66,0.65
0.65,0.22,0.18,0.66,0.78,0.72
0.70,0.22,0.17,0.68,0.88,0.78
std
0.30,0.03,0.01,0.29,0.05,0.08
0.35,0.02,0.01,0.05,0.04,0.05
0.40,0.02,0.01,0.03,0.03,0.03
0.45,0.02,0.02,0.02,0.02,0.02
0.50,0.03,0.02,0.01,0.03,0.02
0.55,0.04,0.04,0.01,0.03,0.02
0.60,0.03,0.03,0.01,0.02,0.01
0.65,0.02,0.02,0.01,0.01,0.0
0.70,0.02,0.03,0.01,0.01,0.01
test finished in 1057.16 seconds
