,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.55,0.03,0.01,0.56,0.04,0.07
0.60,0.27,0.09,0.63,0.32,0.42
0.65,0.49,0.31,0.63,0.58,0.61
0.70,0.48,0.41,0.63,0.78,0.69
0.75,0.33,0.26,0.59,0.91,0.72
0.80,0.17,0.11,0.55,0.98,0.7
0.85,0.05,0.02,0.51,0.99,0.68
0.90,0.01,0.0,0.5,0.99,0.67
0.95,0.0,0.0,0.5,1.0,0.67
max
0.55,0.09,0.03,0.72,0.1,0.17
0.60,0.32,0.13,0.68,0.37,0.48
0.65,0.54,0.36,0.67,0.62,0.64
0.70,0.52,0.45,0.65,0.79,0.71
0.75,0.37,0.33,0.6,0.92,0.72
0.80,0.2,0.14,0.56,0.98,0.71
0.85,0.06,0.03,0.52,1.0,0.69
0.90,0.01,0.01,0.51,1.0,0.68
0.95,-0.0,-0.0,0.51,1.0,0.68
min
0.55,0.0,0.0,0.38,0.0,0.0
0.60,0.21,0.06,0.56,0.26,0.36
0.65,0.46,0.28,0.6,0.56,0.58
0.70,0.43,0.33,0.6,0.76,0.67
0.75,0.31,0.21,0.58,0.89,0.7
0.80,0.15,0.08,0.54,0.98,0.7
0.85,0.04,0.02,0.51,0.99,0.67
0.90,0.01,0.0,0.5,0.99,0.66
0.95,-0.0,-0.0,0.5,1.0,0.66
std
0.55,0.03,0.01,0.12,0.04,0.07
0.60,0.04,0.02,0.04,0.04,0.05
0.65,0.03,0.03,0.02,0.02,0.02
0.70,0.03,0.04,0.01,0.01,0.01
0.75,0.02,0.04,0.01,0.01,0.01
0.80,0.02,0.02,0.01,0.0,0.0
0.85,0.01,0.0,0.0,0.0,0.01
0.90,0.0,0.0,0.0,0.01,0.01
0.95,0.0,0.0,0.0,0.0,0.01
test finished in 321.01 seconds
