,AMI,ARI,Completeness,Homogeneity,V-measure
mean
average-0.65,0.51,0.3,0.62,0.63,0.62
centroid-0.65,0.51,0.3,0.62,0.63,0.62
complete-0.8,0.29,0.12,0.57,0.69,0.63
single-0.55,0.34,0.22,0.52,0.62,0.56
max
average-0.65,0.55,0.42,0.66,0.67,0.66
centroid-0.65,0.55,0.42,0.66,0.67,0.66
complete-0.8,0.33,0.17,0.6,0.74,0.66
single-0.55,0.38,0.26,0.54,0.66,0.6
min
average-0.65,0.47,0.22,0.6,0.61,0.6
centroid-0.65,0.47,0.22,0.6,0.61,0.6
complete-0.8,0.27,0.08,0.56,0.62,0.59
single-0.55,0.29,0.16,0.48,0.58,0.53
std
average-0.65,0.03,0.06,0.02,0.02,0.02
centroid-0.65,0.03,0.06,0.02,0.02,0.02
complete-0.8,0.02,0.03,0.01,0.04,0.02
single-0.55,0.03,0.04,0.02,0.03,0.02
test finished in 310.92 seconds
