,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.55,0.0,0.0,0.56,0.0,0.01
0.60,0.06,0.02,0.58,0.07,0.12
0.65,0.33,0.13,0.68,0.38,0.49
0.70,0.55,0.38,0.68,0.64,0.66
0.75,0.51,0.46,0.65,0.8,0.72
0.80,0.36,0.28,0.6,0.92,0.73
0.85,0.17,0.09,0.55,0.98,0.7
0.90,0.04,0.02,0.51,0.99,0.67
0.95,0.01,0.0,0.5,0.99,0.67
max
0.55,0.0,0.0,1.0,0.01,0.02
0.60,0.15,0.06,0.78,0.17,0.26
0.65,0.38,0.21,0.72,0.43,0.54
0.70,0.59,0.47,0.71,0.67,0.68
0.75,0.54,0.48,0.66,0.82,0.73
0.80,0.4,0.32,0.62,0.93,0.74
0.85,0.19,0.1,0.56,0.99,0.71
0.90,0.06,0.03,0.52,1.0,0.68
0.95,0.01,0.0,0.51,1.0,0.68
min
0.55,0.0,0.0,0.25,0.0,0.0
0.60,0.0,0.0,0.33,0.01,0.02
0.65,0.25,0.09,0.64,0.3,0.42
0.70,0.53,0.29,0.66,0.6,0.63
0.75,0.49,0.45,0.64,0.78,0.7
0.80,0.32,0.26,0.58,0.9,0.71
0.85,0.15,0.07,0.54,0.98,0.69
0.90,0.03,0.01,0.5,0.99,0.66
0.95,0.0,0.0,0.49,0.99,0.66
std
0.55,0.0,0.0,0.29,0.0,0.01
0.60,0.05,0.02,0.13,0.05,0.08
0.65,0.05,0.04,0.03,0.05,0.04
0.70,0.02,0.05,0.02,0.02,0.02
0.75,0.02,0.01,0.01,0.01,0.01
0.80,0.02,0.02,0.01,0.01,0.01
0.85,0.01,0.01,0.01,0.0,0.01
0.90,0.01,0.01,0.01,0.0,0.01
0.95,0.0,0.0,0.01,0.0,0.01
test finished in 622.88 seconds
