,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.60,0.0,0.0,0.85,0.0,0.0
0.65,0.0,0.0,0.58,0.0,0.0
0.70,0.0,0.0,0.41,0.0,0.01
0.75,0.0,0.0,0.45,0.03,0.05
0.80,0.02,0.0,0.48,0.13,0.2
0.85,0.33,0.24,0.6,0.84,0.7
0.90,0.07,0.06,0.52,0.99,0.68
max
0.60,0.0,0.0,1.0,0.0,0.0
0.65,0.0,0.0,1.0,0.0,0.0
0.70,0.0,0.0,0.46,0.0,0.01
0.75,0.0,0.0,0.47,0.04,0.07
0.80,0.03,0.01,0.52,0.15,0.23
0.85,0.37,0.33,0.62,0.93,0.73
0.90,0.09,0.11,0.53,1.0,0.69
min
0.60,0.0,0.0,0.48,0.0,0.0
0.65,0.0,0.0,0.35,0.0,0.0
0.70,0.0,0.0,0.34,0.0,0.01
0.75,0.0,0.0,0.43,0.02,0.04
0.80,0.01,0.0,0.45,0.11,0.18
0.85,0.27,0.13,0.57,0.76,0.66
0.90,0.05,0.03,0.51,0.99,0.68
std
0.60,0.0,0.0,0.23,0.0,0.0
0.65,0.0,0.0,0.27,0.0,0.0
0.70,0.0,0.0,0.03,0.0,0.0
0.75,0.0,0.0,0.01,0.01,0.01
0.80,0.01,0.0,0.02,0.01,0.02
0.85,0.03,0.07,0.02,0.05,0.03
0.90,0.02,0.03,0.01,0.0,0.0
test finished in 1291.44 seconds
