,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.08,0.03,0.31,0.09,0.14
0.35,0.15,0.06,0.38,0.17,0.23
0.40,0.21,0.1,0.42,0.26,0.32
0.45,0.27,0.13,0.46,0.35,0.4
0.50,0.33,0.16,0.48,0.43,0.45
0.55,0.37,0.21,0.51,0.52,0.52
0.60,0.36,0.23,0.53,0.61,0.57
0.65,0.33,0.22,0.54,0.69,0.6
0.70,0.31,0.19,0.55,0.78,0.64
max
0.30,0.13,0.06,0.46,0.14,0.22
0.35,0.19,0.09,0.46,0.21,0.29
0.40,0.26,0.12,0.49,0.31,0.37
0.45,0.31,0.17,0.51,0.38,0.44
0.50,0.38,0.2,0.53,0.48,0.5
0.55,0.43,0.29,0.55,0.57,0.56
0.60,0.41,0.29,0.56,0.65,0.6
0.65,0.36,0.24,0.55,0.71,0.62
0.70,0.33,0.21,0.56,0.8,0.66
min
0.30,0.02,0.01,0.15,0.03,0.05
0.35,0.11,0.04,0.33,0.14,0.2
0.40,0.17,0.08,0.36,0.22,0.27
0.45,0.21,0.1,0.41,0.29,0.34
0.50,0.28,0.13,0.44,0.4,0.42
0.55,0.34,0.16,0.48,0.48,0.48
0.60,0.32,0.2,0.5,0.58,0.54
0.65,0.3,0.2,0.52,0.67,0.59
0.70,0.29,0.17,0.54,0.77,0.64
std
0.30,0.03,0.02,0.09,0.03,0.05
0.35,0.02,0.02,0.04,0.02,0.03
0.40,0.03,0.01,0.04,0.03,0.03
0.45,0.03,0.02,0.03,0.03,0.03
0.50,0.03,0.02,0.03,0.03,0.03
0.55,0.03,0.04,0.02,0.03,0.02
0.60,0.03,0.03,0.02,0.02,0.02
0.65,0.02,0.02,0.01,0.01,0.01
0.70,0.01,0.01,0.01,0.01,0.01
test finished in 1825.05 seconds
