,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.0,0.0,0.88,0.0,0.0
0.35,0.02,0.0,0.72,0.04,0.07
0.40,0.2,0.1,0.65,0.36,0.46
0.45,0.3,0.19,0.67,0.58,0.62
0.50,0.38,0.3,0.7,0.76,0.73
0.55,0.33,0.33,0.71,0.87,0.78
0.60,0.27,0.3,0.71,0.93,0.8
0.65,0.2,0.22,0.69,0.97,0.81
0.70,0.11,0.12,0.68,0.99,0.81
max
0.30,-0.0,-0.0,1.0,0.0,0.01
0.35,0.04,0.01,1.0,0.07,0.12
0.40,0.26,0.15,0.69,0.43,0.53
0.45,0.33,0.26,0.69,0.61,0.65
0.50,0.44,0.39,0.74,0.78,0.76
0.55,0.39,0.42,0.74,0.88,0.8
0.60,0.34,0.39,0.74,0.94,0.83
0.65,0.24,0.27,0.72,0.97,0.82
0.70,0.16,0.18,0.7,0.99,0.82
min
0.30,-0.0,-0.0,0.52,0.0,-0.0
0.35,0.0,0.0,0.56,0.0,0.0
0.40,0.17,0.06,0.6,0.33,0.43
0.45,0.27,0.12,0.65,0.54,0.59
0.50,0.33,0.24,0.67,0.73,0.7
0.55,0.29,0.28,0.69,0.86,0.76
0.60,0.24,0.26,0.69,0.92,0.78
0.65,0.18,0.19,0.68,0.97,0.8
0.70,0.08,0.08,0.65,0.99,0.79
std
0.30,0.0,0.0,0.21,0.0,0.0
0.35,0.01,0.0,0.17,0.03,0.04
0.40,0.03,0.03,0.04,0.04,0.04
0.45,0.03,0.05,0.02,0.03,0.02
0.50,0.04,0.05,0.02,0.02,0.02
0.55,0.04,0.06,0.02,0.01,0.02
0.60,0.04,0.05,0.02,0.01,0.02
0.65,0.02,0.03,0.01,0.0,0.01
0.70,0.03,0.04,0.02,0.0,0.01
test finished in 174.06 seconds
