,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.50,0.0,0.0,0.51,0.01,0.01
0.55,0.0,0.0,0.48,0.03,0.05
0.60,0.01,0.0,0.48,0.11,0.18
0.65,0.07,0.01,0.51,0.32,0.39
0.70,0.27,0.16,0.57,0.74,0.64
0.75,0.22,0.23,0.56,0.97,0.71
0.80,0.11,0.09,0.53,0.99,0.69
max
0.50,0.0,0.0,0.55,0.01,0.01
0.55,0.0,0.0,0.49,0.03,0.06
0.60,0.02,0.0,0.49,0.13,0.2
0.65,0.1,0.02,0.53,0.35,0.42
0.70,0.37,0.33,0.61,0.86,0.71
0.75,0.24,0.27,0.57,0.98,0.72
0.80,0.14,0.14,0.54,1.0,0.7
min
0.50,0.0,0.0,0.41,0.0,0.0
0.55,0.0,0.0,0.46,0.02,0.04
0.60,0.01,0.0,0.47,0.1,0.16
0.65,0.05,0.01,0.49,0.3,0.37
0.70,0.21,0.06,0.54,0.61,0.57
0.75,0.19,0.16,0.55,0.95,0.7
0.80,0.09,0.05,0.53,0.99,0.69
std
0.50,0.0,0.0,0.05,0.0,0.0
0.55,0.0,0.0,0.01,0.0,0.01
0.60,0.0,0.0,0.01,0.01,0.02
0.65,0.02,0.0,0.01,0.02,0.02
0.70,0.06,0.1,0.02,0.09,0.05
0.75,0.02,0.05,0.01,0.01,0.01
0.80,0.02,0.04,0.0,0.0,0.0
test finished in 439.53 seconds
