,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.10,0.05,0.02,0.45,0.06,0.09
0.15,0.12,0.06,0.34,0.15,0.2
0.20,0.21,0.11,0.4,0.26,0.31
0.25,0.29,0.17,0.44,0.38,0.41
0.30,0.34,0.22,0.47,0.49,0.48
0.35,0.33,0.23,0.5,0.58,0.53
0.40,0.31,0.23,0.51,0.66,0.58
0.45,0.3,0.23,0.53,0.74,0.61
0.50,0.29,0.22,0.55,0.8,0.65
0.55,0.26,0.18,0.55,0.86,0.67
max
0.10,0.11,0.06,1.0,0.13,0.19
0.15,0.14,0.07,0.37,0.17,0.23
0.20,0.23,0.13,0.43,0.28,0.34
0.25,0.32,0.21,0.47,0.41,0.44
0.30,0.37,0.24,0.49,0.52,0.5
0.35,0.36,0.26,0.51,0.59,0.54
0.40,0.33,0.26,0.52,0.67,0.59
0.45,0.31,0.26,0.55,0.76,0.63
0.50,0.31,0.25,0.56,0.82,0.66
0.55,0.29,0.2,0.57,0.88,0.69
min
0.10,0.0,0.0,0.28,0.0,0.0
0.15,0.1,0.05,0.32,0.13,0.18
0.20,0.18,0.08,0.35,0.22,0.27
0.25,0.26,0.14,0.4,0.36,0.38
0.30,0.31,0.17,0.44,0.45,0.45
0.35,0.3,0.2,0.48,0.56,0.51
0.40,0.27,0.18,0.49,0.64,0.56
0.45,0.27,0.18,0.51,0.72,0.59
0.50,0.26,0.17,0.52,0.79,0.63
0.55,0.24,0.15,0.53,0.84,0.65
std
0.10,0.04,0.02,0.27,0.04,0.06
0.15,0.01,0.01,0.02,0.01,0.02
0.20,0.02,0.02,0.03,0.02,0.02
0.25,0.02,0.02,0.02,0.02,0.02
0.30,0.02,0.03,0.02,0.02,0.02
0.35,0.02,0.02,0.01,0.01,0.01
0.40,0.02,0.03,0.01,0.01,0.01
0.45,0.01,0.03,0.01,0.01,0.01
0.50,0.02,0.03,0.01,0.01,0.01
0.55,0.02,0.02,0.01,0.01,0.01
test finished in 784.20 seconds
