,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.30,0.02,0.01,0.62,0.23,0.34
0.35,0.04,0.01,0.64,0.38,0.47
0.40,0.04,0.01,0.64,0.54,0.58
0.45,0.07,0.04,0.65,0.72,0.68
0.50,0.05,0.05,0.66,0.86,0.74
0.55,0.02,0.02,0.66,0.92,0.77
0.60,0.01,0.01,0.67,0.97,0.79
max
0.30,0.04,0.01,0.68,0.3,0.42
0.35,0.07,0.02,0.69,0.45,0.54
0.40,0.08,0.03,0.68,0.56,0.62
0.45,0.11,0.05,0.68,0.73,0.7
0.50,0.08,0.08,0.69,0.89,0.78
0.55,0.03,0.03,0.68,0.94,0.79
0.60,0.02,0.02,0.69,0.98,0.81
min
0.30,0.0,0.0,0.57,0.17,0.26
0.35,0.01,0.0,0.58,0.31,0.4
0.40,0.01,0.0,0.59,0.51,0.55
0.45,0.03,0.02,0.61,0.71,0.66
0.50,0.02,0.02,0.62,0.84,0.71
0.55,0.01,0.01,0.63,0.9,0.74
0.60,0.01,0.01,0.64,0.96,0.77
std
0.30,0.02,0.01,0.06,0.06,0.08
0.35,0.03,0.01,0.05,0.07,0.07
0.40,0.03,0.01,0.05,0.03,0.03
0.45,0.04,0.02,0.04,0.01,0.02
0.50,0.03,0.03,0.03,0.03,0.04
0.55,0.01,0.01,0.03,0.02,0.03
0.60,0.01,0.01,0.02,0.01,0.02
test finished in 546.87 seconds
