,AMI,ARI,Completeness,Homogeneity,V-measure
mean
average-0.1,0.59,0.56,0.81,0.89,0.85
centroid-0.25,0.23,0.23,0.7,0.93,0.8
complete-0.2,0.32,0.27,0.72,0.88,0.79
single-0.05,0.58,0.5,0.8,0.84,0.81
max
average-0.1,0.66,0.63,0.85,0.91,0.88
centroid-0.25,0.26,0.32,0.71,0.99,0.83
complete-0.2,0.35,0.37,0.73,0.95,0.82
single-0.05,0.67,0.59,0.85,0.86,0.85
min
average-0.1,0.54,0.48,0.78,0.87,0.82
centroid-0.25,0.19,0.17,0.69,0.89,0.78
complete-0.2,0.29,0.15,0.71,0.78,0.74
single-0.05,0.54,0.45,0.77,0.82,0.8
std
average-0.1,0.04,0.05,0.03,0.02,0.02
centroid-0.25,0.02,0.05,0.01,0.04,0.02
complete-0.2,0.02,0.07,0.01,0.06,0.03
single-0.05,0.05,0.05,0.03,0.01,0.02
test finished in 329.70 seconds
