,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.05,0.43,0.2,0.84,0.6,0.7
0.10,0.58,0.55,0.81,0.89,0.85
0.15,0.4,0.43,0.75,0.96,0.84
0.20,0.23,0.25,0.7,0.98,0.82
0.25,0.13,0.14,0.68,0.99,0.8
0.30,0.07,0.07,0.66,0.99,0.79
0.35,0.04,0.05,0.66,1.0,0.79
0.40,0.02,0.02,0.65,1.0,0.79
0.45,0.01,0.02,0.65,1.0,0.79
max
0.05,0.5,0.28,0.86,0.67,0.75
0.10,0.63,0.57,0.83,0.9,0.86
0.15,0.42,0.44,0.76,0.97,0.85
0.20,0.25,0.27,0.71,0.99,0.82
0.25,0.15,0.17,0.68,0.99,0.81
0.30,0.09,0.11,0.67,1.0,0.8
0.35,0.06,0.08,0.66,1.0,0.79
0.40,0.03,0.03,0.66,1.0,0.79
0.45,0.02,0.03,0.65,1.0,0.79
min
0.05,0.37,0.13,0.82,0.54,0.67
0.10,0.54,0.53,0.79,0.89,0.84
0.15,0.37,0.4,0.74,0.95,0.84
0.20,0.21,0.22,0.7,0.98,0.82
0.25,0.1,0.1,0.67,0.99,0.8
0.30,0.03,0.03,0.65,0.99,0.78
0.35,0.02,0.02,0.65,0.99,0.78
0.40,0.01,0.01,0.65,0.99,0.78
0.45,0.01,0.01,0.65,0.99,0.78
std
0.05,0.05,0.06,0.02,0.05,0.03
0.10,0.04,0.02,0.02,0.0,0.01
0.15,0.02,0.02,0.01,0.01,0.0
0.20,0.02,0.02,0.0,0.0,0.0
0.25,0.02,0.03,0.0,0.0,0.0
0.30,0.03,0.03,0.01,0.0,0.01
0.35,0.02,0.02,0.0,0.0,0.0
0.40,0.01,0.01,0.0,0.0,0.0
0.45,0.0,0.01,0.0,0.0,0.0
test finished in 189.27 seconds
