,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.05,0.6,0.49,0.81,0.84,0.83
0.10,0.48,0.46,0.78,0.92,0.84
0.15,0.33,0.34,0.74,0.97,0.84
0.20,0.22,0.22,0.71,0.98,0.82
0.25,0.11,0.11,0.68,0.99,0.81
0.30,0.05,0.05,0.67,0.99,0.8
0.35,0.03,0.03,0.66,1.0,0.8
0.40,0.02,0.02,0.66,1.0,0.79
0.45,0.01,0.01,0.66,1.0,0.79
max
0.05,0.65,0.55,0.83,0.84,0.84
0.10,0.53,0.53,0.8,0.92,0.85
0.15,0.37,0.39,0.75,0.97,0.84
0.20,0.25,0.27,0.72,0.98,0.83
0.25,0.13,0.12,0.68,0.99,0.81
0.30,0.06,0.06,0.67,0.99,0.8
0.35,0.04,0.04,0.66,1.0,0.8
0.40,0.02,0.02,0.66,1.0,0.8
0.45,0.02,0.02,0.66,1.0,0.8
min
0.05,0.53,0.43,0.78,0.84,0.81
0.10,0.43,0.39,0.76,0.91,0.83
0.15,0.31,0.31,0.73,0.96,0.83
0.20,0.19,0.18,0.7,0.97,0.81
0.25,0.1,0.1,0.68,0.99,0.8
0.30,0.03,0.03,0.66,0.99,0.8
0.35,0.02,0.02,0.66,0.99,0.79
0.40,0.01,0.01,0.66,0.99,0.79
0.45,0.01,0.01,0.66,0.99,0.79
std
0.05,0.05,0.05,0.02,0.0,0.01
0.10,0.04,0.06,0.02,0.0,0.01
0.15,0.03,0.04,0.01,0.0,0.0
0.20,0.02,0.04,0.01,0.0,0.01
0.25,0.01,0.01,0.0,0.0,0.0
0.30,0.01,0.01,0.0,0.0,0.0
0.35,0.01,0.01,0.0,0.0,0.0
0.40,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0
test finished in 110.16 seconds
