,AMI,ARI,Completeness,Homogeneity,V-measure
mean
0.05,0.0,0.0,0.51,0.01,0.01
0.10,0.0,0.0,0.6,0.01,0.02
0.15,0.03,0.01,0.61,0.09,0.15
0.20,0.17,0.03,0.63,0.32,0.42
0.25,0.42,0.14,0.66,0.64,0.65
0.30,0.47,0.42,0.66,0.93,0.78
0.35,0.4,0.38,0.64,0.98,0.77
0.40,0.33,0.31,0.62,1.0,0.76
0.45,0.29,0.25,0.6,1.0,0.75
max
0.05,0.0,0.0,0.6,0.01,0.01
0.10,0.01,0.0,0.75,0.02,0.03
0.15,0.05,0.01,0.68,0.12,0.2
0.20,0.22,0.04,0.67,0.37,0.47
0.25,0.47,0.23,0.67,0.74,0.7
0.30,0.54,0.53,0.7,0.94,0.81
0.35,0.44,0.46,0.66,0.99,0.79
0.40,0.38,0.42,0.64,1.0,0.78
0.45,0.33,0.33,0.62,1.0,0.77
min
0.05,0.0,0.0,0.45,0.0,0.01
0.10,0.0,0.0,0.45,0.01,0.01
0.15,0.02,0.0,0.56,0.07,0.12
0.20,0.12,0.02,0.58,0.28,0.38
0.25,0.39,0.1,0.65,0.58,0.62
0.30,0.41,0.34,0.63,0.92,0.75
0.35,0.36,0.3,0.62,0.97,0.76
0.40,0.3,0.23,0.6,1.0,0.75
0.45,0.27,0.2,0.58,1.0,0.74
std
0.05,0.0,0.0,0.06,0.0,0.0
0.10,0.0,0.0,0.12,0.0,0.01
0.15,0.01,0.0,0.05,0.02,0.03
0.20,0.04,0.01,0.04,0.04,0.04
0.25,0.04,0.06,0.01,0.07,0.04
0.30,0.05,0.08,0.03,0.01,0.02
0.35,0.03,0.07,0.02,0.01,0.01
0.40,0.03,0.08,0.02,0.0,0.01
0.45,0.03,0.06,0.02,0.0,0.01
test finished in 4139.70 seconds
