,AMI,ARI,Completeness,Homogeneity,V-measure,
mean,,,,,,
t0.1 c0.9 th0.7 method1 k15 ,0.79,0.79,0.84,0.93,0.89,1.58
t0.2 c0.8 th0.7 method1 k15 ,0.86,0.85,0.89,0.96,0.92,1.71
t0.3 c0.7 th0.65 method1 k15 ,0.91,0.84,0.93,0.94,0.94,1.75
t0.4 c0.6 th0.65 method1 k15 ,0.9,0.87,0.92,0.96,0.94,1.77
t0.5 c0.5 th0.65 method1 k15 ,0.88,0.88,0.91,0.97,0.94,1.76
t0.6 c0.4 th0.65 method1 k15 ,0.84,0.85,0.88,0.97,0.92,1.69
t0.7 c0.3 th0.6 method1 k15 ,0.89,0.84,0.91,0.94,0.93,1.73
t0.8 c0.2 th0.6 method1 k15 ,0.86,0.83,0.89,0.95,0.92,1.69
t0.9 c0.1 th0.6 method1 k15 ,0.85,0.83,0.88,0.95,0.92,1.68
max,,,,,,
t0.1 c0.9 th0.7 method1 k15 ,0.81,0.81,0.86,0.95,0.9,
t0.2 c0.8 th0.7 method1 k15 ,0.88,0.88,0.91,0.97,0.94,
t0.3 c0.7 th0.65 method1 k15 ,0.93,0.86,0.95,0.95,0.95,
t0.4 c0.6 th0.65 method1 k15 ,0.94,0.92,0.95,0.97,0.96,
t0.5 c0.5 th0.65 method1 k15 ,0.92,0.93,0.94,0.98,0.96,
t0.6 c0.4 th0.65 method1 k15 ,0.87,0.9,0.9,0.99,0.94,
t0.7 c0.3 th0.6 method1 k15 ,0.91,0.88,0.93,0.96,0.94,
t0.8 c0.2 th0.6 method1 k15 ,0.89,0.85,0.91,0.95,0.93,
t0.9 c0.1 th0.6 method1 k15 ,0.86,0.85,0.89,0.96,0.92,
min,,,,,,
t0.1 c0.9 th0.7 method1 k15 ,0.76,0.74,0.82,0.92,0.87,
t0.2 c0.8 th0.7 method1 k15 ,0.83,0.8,0.87,0.94,0.9,
t0.3 c0.7 th0.65 method1 k15 ,0.87,0.81,0.9,0.93,0.92,
t0.4 c0.6 th0.65 method1 k15 ,0.87,0.83,0.9,0.95,0.92,
t0.5 c0.5 th0.65 method1 k15 ,0.85,0.84,0.89,0.96,0.92,
t0.6 c0.4 th0.65 method1 k15 ,0.81,0.8,0.86,0.96,0.91,
t0.7 c0.3 th0.6 method1 k15 ,0.86,0.78,0.89,0.92,0.9,
t0.8 c0.2 th0.6 method1 k15 ,0.83,0.81,0.87,0.94,0.91,
t0.9 c0.1 th0.6 method1 k15 ,0.83,0.82,0.87,0.95,0.91,
std,,,,,,
t0.1 c0.9 th0.7 method1 k15 ,0.02,0.03,0.02,0.01,0.01,
t0.2 c0.8 th0.7 method1 k15 ,0.02,0.04,0.02,0.01,0.02,
t0.3 c0.7 th0.65 method1 k15 ,0.03,0.02,0.02,0.01,0.01,
t0.4 c0.6 th0.65 method1 k15 ,0.03,0.04,0.02,0.01,0.02,
t0.5 c0.5 th0.65 method1 k15 ,0.03,0.04,0.02,0.01,0.02,
t0.6 c0.4 th0.65 method1 k15 ,0.02,0.04,0.02,0.01,0.01,
t0.7 c0.3 th0.6 method1 k15 ,0.02,0.04,0.02,0.02,0.02,
t0.8 c0.2 th0.6 method1 k15 ,0.02,0.02,0.02,0,0.01,
t0.9 c0.1 th0.6 method1 k15 ,0.01,0.01,0.01,0,0,
test finished in 303.99 seconds,,,,,,
